Drug_bank,MGI_essential,Haploinsufficient,highPhi,highPLI_Exac,highShet_Cassa,MissenseZ_Samocha,Autosomal_dominant,OMIM_diseasegenes,TF,high_EDS,Olfactory,Clinvar,GWAS_nearest,Universe,eQTL_deficient,Genes_withSNPs_r01_100kb,Genes_withSNPs_r03_100kb,Genes_withSNPs_r05_100kb,Genes_withSNPs_allSNPs_100kb,Genes_withSNPs_r01_10kb,Genes_withSNPs_r03_10kb,Genes_withSNPs_r05_10kb,Genes_withSNPs_all_SNPs_10kb
19,19,182,31,20,20,20,16,9,165,2,4991,12,12,1,723790,50861,50861,50861,767558,50861,337963,152138,767558
25,21,190,164,22,25,29,19,12,190,20,4992,16,15,2,8337,767558,767558,767558,337963,100288323,493901,58531,152138
30,22,215,176,25,29,31,58,16,196,24,4993,18,19,9,317772,386683,140453,58531,50861,127623,84992,493901,100288323
43,25,324,182,29,31,40,59,18,257,29,4994,19,23,10,127391,337963,386683,140453,114799,152138,390058,84992,337963
87,31,412,286,31,40,41,60,21,326,41,4995,21,24,12,127343,140453,337963,386683,728255,337979,353142,5020,353142
100,33,554,287,40,43,43,70,22,367,51,7932,22,28,13,729059,337977,114799,114799,58531,390445,440023,440023,50861
124,34,657,288,41,60,47,71,24,401,70,8383,24,31,14,2980,114799,58531,386684,386683,58531,5020,246744,114799
134,43,659,324,43,81,50,81,25,405,88,8386,25,33,15,79501,100288323,645745,337963,140453,5619,2864,337963,140453
135,47,668,394,47,86,59,88,34,406,90,8387,29,34,16,284546,645745,386684,645745,152138,728279,127623,83897,353332
142,48,675,463,60,87,60,93,35,429,91,8388,34,35,18,149647,386684,79727,79727,337979,645745,390445,645745,386683
146,58,860,476,70,91,70,94,36,430,94,8390,35,40,19,79727,353142,152138,440023,100131902,84992,11017,5619,58531
150,60,861,489,81,93,71,103,37,463,108,8392,36,43,20,126637,337985,728255,728255,386684,337978,353143,2864,246744
151,70,1106,545,86,102,72,174,38,466,111,8590,37,47,21,126638,58531,23519,152138,246744,440023,152138,140453,23519
153,71,1121,649,87,107,81,182,43,467,112,10798,38,48,22,26239,337979,353142,23519,100288323,11017,6343,353142,337979
154,81,1139,659,88,108,87,203,50,468,114,23538,49,50,23,353140,353332,440023,5619,401397,390883,390442,390058,390058
185,90,1184,667,90,119,91,208,51,474,119,26188,50,51,24,353132,337975,353332,493901,337977,338674,340980,79727,83897
210,91,1277,774,91,160,93,270,54,571,120,26189,51,60,25,353131,337978,493901,353332,337985,493901,2854,94235,728255
217,92,1280,777,92,161,102,283,58,579,132,26211,52,71,26,163778,152138,246744,122665,353142,730755,246744,50861,353143
222,93,1287,790,93,176,104,286,59,604,133,26212,53,87,27,149018,728255,337977,100131902,645745,85294,727857,347148,85293
238,94,1387,1062,102,182,107,287,60,639,134,26219,54,89,28,140625,347148,353143,353323,337975,140856,23519,338674,347148
240,100,1536,1105,103,190,108,291,70,646,135,26245,58,91,29,149233,100131902,347148,347148,23519,353142,219428,122665,386684
251,102,1641,1106,107,196,109,324,71,668,141,26246,59,92,30,9295,353143,100131902,338674,728299,386683,390883,390445,51052
291,103,1678,1107,108,208,111,335,81,687,146,26248,60,94,31,8290,23519,353323,246744,353143,119678,140453,85293,645745
306,104,1756,1108,111,212,112,336,88,688,147,26333,70,98,32,128312,79727,401397,401397,51052,730755,79727,127623,353323
331,113,1859,1130,115,215,147,338,90,745,148,26339,71,102,33,127247,353323,122665,100132463,79727,85294,10744,767558,100131902
351,114,1896,1213,119,216,160,351,91,860,153,26341,72,103,34,388701,493901,100288323,219447,353332,347169,54546,6343,119772
367,116,1910,1272,120,241,161,355,93,861,154,26476,81,104,35,440730,440023,338674,6343,440023,6343,219447,26533,3444
462,117,1947,1277,160,262,162,462,94,864,165,26493,86,105,36,26009,246744,390058,727857,5619,340980,119679,390442,440023
476,118,2006,1278,161,284,163,477,95,988,182,26494,87,107,37,4985,338674,337979,1068,347148,386681,100132476,386683,119679
486,132,2033,1282,162,286,182,486,100,1044,185,26496,88,108,38,390992,401397,100132463,83897,1163,337967,81871,387733,120065
495,133,2070,1290,163,287,207,488,103,1045,187,26529,90,111,39,645745,1163,5619,10798,403274,390148,26533,10744,338674
528,142,2131,1303,164,288,208,611,104,1046,211,26532,91,113,40,3491,1068,1163,341799,163590,119679,728279,347169,5619
552,151,2132,1315,176,292,271,640,111,1050,213,26533,92,114,41,1163,337976,1068,8840,84992,386676,613210,140856,100132476
554,153,2138,1373,182,372,320,652,132,1051,216,26538,93,115,43,343472,728299,390059,282770,613210,390063,140856,727857,81871
590,164,2182,1387,191,375,375,657,158,1052,229,26539,94,119,47,391191,386685,341799,85293,337967,119682,386684,386685,7441
