Gene set,# unique genes (that exists in Universe),Description,Reference,Analyzed in Kim et al. AJHG 2019? (see Methods for description)
Universe,18093,Genes with protein product according to HGNC62 (HUGO Gene Nomenclature Committee) that have an ENSG ID and Entrez ID,Povey  Hum Genet 2001,T
MGI_essential,2361,"Genes for which homozygous knockout in mice results in pre-, peri-, or post-natal lethality.","Blake Nucleic Acids Res 2011, Georgi PLOS Genet 2013, Liu Hum Mutat 2013",T
Haploinsufficient,125,"Genes of severe, moderate, and mild haploinsufficiency, where having only a single functioning copy of a gene is not enough for normal function.",Lek Nature 2016,T
highPLI_Exac,2895,"Loss-of-function (LoF) genes with pLI > 0.9, i.e., strongly depleted for protein-truncating variants",Lek Nature 2016,T
Kinase_Uniprot,330,Kinase pkinfam from Uniprot,UniProt consortium Nucleic Acids Res 2018,F
LoF_twohits,323,Genes with at least two different LoF variants found in a homozygous state in >= 1 individual in ExAC,Lek Nature 2016,F
OMIM_autosomaldominant,622,Genes among OMIM disease genes that are deemed to follow autosomal-dominant inheritance.,Berg Genet Med 2013,T
OMIM_recessive,1046,Genes among OMIM disease genes that are deemed to follow autosomal-recessive nheritance.,Berg Genet Med 2013,F
Olfactory,367,Olfactory receptor genes,Mainland Sci Data 2015,T
eQTL_deficient,597,Genes with no significant variant-gene association in all 48 tissues in GTEx v.7 single-tissue cis-eQTL data.,GTEx Nature 2017,T
Genes_clinvar_pathovariant_04022020,4269,Genes with a pathogenic or likely pathogenic variant with no conflict among studies from ClinVar (accessed on 04/02/2020),Landrum Nucleic Acids Res 2018,T
GWAS_nearest,6148,Genes nearest to peak GWAS significant loci (p value ² 5e_8) in the GWAS Catalog (accessed in 2019),MacArthur Nucleic Acids Res 2017,T
Greene_thyroid,1772,Top 10% genes with high closeness centrality in Greene et al. thyroid gland co-expression network,"Greene Nature Genet 2015, Kim AJHG 2019",T
InWeb,1599,Top 10% genes with high closeness centrality in InWeb PPI network,"Li Nat Methods 2017, Kim AJHG 2019",T
Sonawane_testis,1446,Top 10% genes with high closeness centrality in Sonwane et al. Testis regulatory network,"Sonawane Cell Reports 2017, Kim AJHG 2019",T
Saha_skinsun,235,Top 10% genes with high closeness centrality in Saha et al. SkinSunExposed lower leg network,"Saha Gen Res 2017, Kim AJHG 2019",T
highPhi,590,LoF-constrained genes with probability of haploinsufficiency (Phi) > 0.95,Bartha PLOS Comput Bio 2015,T
highShet_Cassa,2527,"Constrained genes with shet > 0.1, i.e., strong selection against protein-truncating variants",Cassa NG 2017,T
MissenseZ_Samocha,1366,"Constrained genes strongly depleted for missense mutations, with exp_syn ³ 5, syn_z_sign < 3.09, and mis_z_sign > 3.09, as retrieved in Lek et al.",Samocha NG 2014,T
Autosomal_dominant,681,"Same definition as ""OMIM_autosomaldominant"" but downloaded earlier; disregard this gene set but use OMIM_autosomaldominant instead","Blekhman Curr Bio 2008, Berg Genet Med 2013",T
TF,1484,Human transcription factors.,Lambert Cell 2018,T
