,Drug_bank,MGI_essential,Haploinsufficient,highPhi,highPLI_Exac,highShet_Cassa,MissenseZ_Samocha,Autosomal_dominant,OMIM_diseasegenes,TF,high_EDS,Olfactory,Clinvar,GWAS_nearest,Universe,eQTL_deficient,Genes_withSNPs_r01_100kb,Genes_withSNPs_r03_100kb,Genes_withSNPs_r05_100kb,Genes_withSNPs_allSNPs_100kb,Genes_withSNPs_r01_10kb,Genes_withSNPs_r03_10kb,Genes_withSNPs_r05_10kb,Genes_withSNPs_all_SNPs_10kb
top10%,51.0,524.0,33.0,233.0,866.0,680.0,435.0,120.0,291.0,145.0,311.0,0.0,705.0,746.0,1868.0,13.0,52.0,54.0,54.0,61.0,70.0,60.0,57.0,63.0
top20,37.0,413.0,25.0,103.0,535.0,451.0,249.0,108.0,279.0,151.0,285.0,0.0,632.0,684.0,1872.0,19.0,107.0,102.0,107.0,94.0,108.0,102.0,94.0,94.0
top30,51.0,313.0,15.0,82.0,422.0,350.0,175.0,81.0,279.0,142.0,281.0,0.0,607.0,705.0,1870.0,18.0,109.0,110.0,118.0,115.0,124.0,124.0,135.0,120.0
top40,43.0,289.0,13.0,49.0,337.0,279.0,160.0,83.0,263.0,150.0,311.0,7.0,606.0,696.0,1870.0,30.0,136.0,136.0,130.0,137.0,145.0,127.0,122.0,142.0
top50,26.0,228.0,13.0,38.0,248.0,218.0,105.0,88.0,236.0,167.0,307.0,7.0,539.0,629.0,1874.0,38.0,154.0,152.0,153.0,149.0,174.0,166.0,156.0,149.0
top60,39.0,185.0,11.0,24.0,189.0,187.0,84.0,60.0,212.0,175.0,264.0,7.0,514.0,637.0,1873.0,47.0,183.0,184.0,155.0,185.0,167.0,165.0,158.0,184.0
top70,32.0,139.0,2.0,33.0,151.0,149.0,86.0,55.0,168.0,179.0,264.0,18.0,436.0,590.0,1869.0,57.0,204.0,204.0,210.0,205.0,219.0,240.0,244.0,215.0
top80,26.0,120.0,7.0,13.0,81.0,104.0,54.0,38.0,158.0,149.0,227.0,57.0,402.0,562.0,1871.0,85.0,351.0,346.0,324.0,343.0,320.0,318.0,329.0,349.0
top90,33.0,109.0,2.0,11.0,68.0,106.0,66.0,41.0,136.0,160.0,211.0,176.0,348.0,545.0,1873.0,145.0,456.0,466.0,393.0,464.0,379.0,385.0,389.0,463.0
top100,22.0,51.0,1.0,7.0,22.0,87.0,28.0,36.0,128.0,140.0,154.0,88.0,342.0,518.0,1872.0,182.0,371.0,377.0,312.0,374.0,287.0,312.0,308.0,394.0
