,Drug_bank,MGI_essential,Haploinsufficient,highPhi,highPLI_Exac,highShet_Cassa,MissenseZ_Samocha,Autosomal_dominant,OMIM_diseasegenes,TF,high_EDS,Olfactory,Clinvar,GWAS_nearest,Universe,eQTL_deficient,Genes_withSNPs_r01_100kb,Genes_withSNPs_r03_100kb,Genes_withSNPs_r05_100kb,Genes_withSNPs_allSNPs_100kb,Genes_withSNPs_r01_10kb,Genes_withSNPs_r03_10kb,Genes_withSNPs_r05_10kb,Genes_withSNPs_all_SNPs_10kb
top10%,59.0,586.0,31.0,116.0,634.0,563.0,306.0,157.0,353.0,132.0,341.0,0.0,729.0,748.0,1872.0,10.0,93.0,101.0,107.0,104.0,118.0,102.0,101.0,102.0
top20,40.0,406.0,23.0,119.0,511.0,418.0,235.0,95.0,282.0,131.0,290.0,0.0,641.0,738.0,1869.0,4.0,111.0,104.0,89.0,106.0,102.0,88.0,92.0,101.0
top30,38.0,308.0,12.0,95.0,445.0,396.0,206.0,76.0,232.0,137.0,300.0,0.0,572.0,738.0,1869.0,10.0,85.0,80.0,83.0,86.0,101.0,110.0,103.0,90.0
top40,23.0,248.0,21.0,75.0,368.0,270.0,158.0,63.0,239.0,148.0,292.0,0.0,558.0,661.0,1871.0,8.0,105.0,104.0,95.0,101.0,100.0,101.0,90.0,101.0
top50,18.0,185.0,7.0,62.0,299.0,250.0,138.0,45.0,199.0,143.0,264.0,0.0,533.0,661.0,1874.0,21.0,121.0,120.0,117.0,121.0,125.0,114.0,113.0,117.0
top60,34.0,172.0,8.0,56.0,249.0,202.0,101.0,55.0,195.0,188.0,248.0,1.0,471.0,616.0,1870.0,45.0,139.0,151.0,154.0,135.0,159.0,166.0,170.0,164.0
top70,35.0,148.0,4.0,27.0,169.0,149.0,102.0,53.0,180.0,177.0,267.0,8.0,483.0,598.0,1870.0,68.0,248.0,250.0,221.0,250.0,237.0,232.0,232.0,252.0
top80,30.0,134.0,6.0,18.0,121.0,139.0,77.0,48.0,154.0,189.0,268.0,42.0,403.0,547.0,1872.0,94.0,308.0,314.0,262.0,315.0,272.0,278.0,285.0,330.0
top90,38.0,104.0,6.0,10.0,78.0,117.0,58.0,48.0,131.0,176.0,190.0,133.0,350.0,479.0,1872.0,150.0,433.0,432.0,390.0,431.0,360.0,370.0,373.0,427.0
top100,45.0,80.0,4.0,15.0,45.0,107.0,61.0,70.0,185.0,137.0,155.0,176.0,391.0,526.0,1873.0,224.0,480.0,475.0,438.0,478.0,419.0,438.0,433.0,489.0
