,Drug_bank,MGI_essential,Haploinsufficient,highPhi,highPLI_Exac,highShet_Cassa,MissenseZ_Samocha,Autosomal_dominant,OMIM_diseasegenes,TF,high_EDS,Olfactory,Clinvar,GWAS_nearest,Universe,eQTL_deficient,Genes_withSNPs_r01_100kb,Genes_withSNPs_r03_100kb,Genes_withSNPs_r05_100kb,Genes_withSNPs_allSNPs_100kb,Genes_withSNPs_r01_10kb,Genes_withSNPs_r03_10kb,Genes_withSNPs_r05_10kb,Genes_withSNPs_all_SNPs_10kb
top10%,21.0,199.0,23.0,52.0,229.0,174.0,91.0,43.0,92.0,253.0,131.0,0.0,214.0,237.0,558.0,14.0,29.0,32.0,33.0,32.0,32.0,38.0,37.0,31.0
top20,12.0,121.0,10.0,44.0,182.0,147.0,69.0,24.0,91.0,111.0,97.0,0.0,197.0,223.0,558.0,12.0,29.0,31.0,33.0,32.0,29.0,29.0,28.0,31.0
top30,9.0,131.0,12.0,43.0,156.0,129.0,61.0,41.0,78.0,128.0,120.0,1.0,201.0,220.0,557.0,21.0,30.0,30.0,32.0,28.0,33.0,30.0,34.0,27.0
top40,8.0,136.0,11.0,18.0,110.0,99.0,52.0,25.0,75.0,119.0,98.0,0.0,199.0,233.0,555.0,17.0,45.0,43.0,41.0,41.0,52.0,43.0,49.0,36.0
top50,16.0,92.0,5.0,13.0,93.0,108.0,47.0,30.0,69.0,59.0,91.0,1.0,155.0,195.0,558.0,16.0,42.0,43.0,45.0,45.0,46.0,42.0,44.0,45.0
top60,17.0,65.0,2.0,18.0,94.0,94.0,36.0,17.0,83.0,41.0,79.0,2.0,156.0,197.0,558.0,18.0,43.0,43.0,45.0,49.0,47.0,53.0,51.0,54.0
top70,14.0,59.0,5.0,19.0,101.0,93.0,38.0,15.0,61.0,34.0,59.0,2.0,155.0,196.0,557.0,18.0,35.0,38.0,37.0,37.0,38.0,43.0,38.0,36.0
top80,3.0,58.0,4.0,15.0,79.0,70.0,35.0,14.0,63.0,40.0,71.0,0.0,154.0,181.0,558.0,14.0,43.0,43.0,44.0,51.0,52.0,48.0,47.0,52.0
top90,12.0,77.0,5.0,22.0,89.0,86.0,42.0,20.0,67.0,35.0,69.0,1.0,184.0,167.0,557.0,18.0,38.0,34.0,36.0,43.0,47.0,46.0,44.0,48.0
top100,8.0,78.0,5.0,27.0,116.0,73.0,39.0,22.0,70.0,15.0,76.0,1.0,200.0,199.0,556.0,7.0,33.0,31.0,32.0,31.0,29.0,30.0,30.0,30.0
