,Drug_bank,MGI_essential,Haploinsufficient,highPhi,highPLI_Exac,highShet_Cassa,MissenseZ_Samocha,Autosomal_dominant,OMIM_diseasegenes,TF,high_EDS,Olfactory,Clinvar,GWAS_nearest,Universe,eQTL_deficient,Genes_withSNPs_r01_100kb,Genes_withSNPs_r03_100kb,Genes_withSNPs_r05_100kb,Genes_withSNPs_allSNPs_100kb,Genes_withSNPs_r01_10kb,Genes_withSNPs_r03_10kb,Genes_withSNPs_r05_10kb,Genes_withSNPs_all_SNPs_10kb
top10%,25.0,261.0,28.0,24.0,258.0,295.0,136.0,64.0,204.0,242.0,241.0,0.0,456.0,481.0,1522.0,17.0,127.0,131.0,138.0,126.0,142.0,138.0,134.0,121.0
top20,26.0,246.0,17.0,48.0,323.0,312.0,159.0,60.0,214.0,161.0,214.0,0.0,485.0,538.0,1520.0,35.0,91.0,95.0,95.0,98.0,113.0,100.0,105.0,97.0
top30,28.0,217.0,25.0,45.0,308.0,263.0,124.0,71.0,215.0,155.0,209.0,0.0,483.0,522.0,1517.0,27.0,71.0,68.0,65.0,68.0,79.0,81.0,74.0,74.0
top40,23.0,203.0,15.0,61.0,300.0,262.0,107.0,53.0,198.0,121.0,215.0,1.0,479.0,524.0,1521.0,30.0,70.0,73.0,74.0,80.0,71.0,78.0,86.0,83.0
top50,21.0,202.0,13.0,48.0,256.0,234.0,105.0,45.0,176.0,116.0,194.0,3.0,462.0,510.0,1517.0,34.0,95.0,94.0,98.0,104.0,110.0,108.0,114.0,105.0
top60,30.0,192.0,9.0,76.0,289.0,221.0,129.0,58.0,198.0,120.0,225.0,3.0,474.0,580.0,1520.0,40.0,74.0,76.0,77.0,77.0,80.0,85.0,82.0,78.0
top70,37.0,208.0,11.0,75.0,292.0,224.0,123.0,61.0,212.0,103.0,244.0,4.0,480.0,530.0,1518.0,39.0,74.0,79.0,77.0,76.0,84.0,81.0,81.0,79.0
top80,42.0,230.0,22.0,62.0,251.0,220.0,104.0,67.0,185.0,109.0,224.0,8.0,438.0,553.0,1517.0,45.0,129.0,128.0,132.0,136.0,138.0,125.0,125.0,143.0
top90,46.0,151.0,12.0,20.0,174.0,196.0,97.0,53.0,167.0,78.0,212.0,9.0,407.0,517.0,1521.0,59.0,153.0,148.0,152.0,147.0,168.0,167.0,162.0,164.0
top100,44.0,185.0,12.0,51.0,244.0,224.0,129.0,67.0,193.0,69.0,216.0,5.0,456.0,514.0,1520.0,43.0,130.0,129.0,131.0,134.0,139.0,142.0,151.0,152.0
