,Drug_bank,MGI_essential,Haploinsufficient,highPhi,highPLI_Exac,highShet_Cassa,MissenseZ_Samocha,Autosomal_dominant,OMIM_diseasegenes,TF,high_EDS,Olfactory,Clinvar,GWAS_nearest,Universe,eQTL_deficient,eGenes_ENTREZ_Whole_Blood.v7.signif_variant_gene_pairs,indSNPs_r01_100kb,indSNPs_r03_100kb,indSNPs_r05_100kb,indSNPs_r01_10kb,indSNPs_r03_10kb,indSNPs_r05_10kb
top10%,4.0,45.0,0.0,15.0,65.0,67.0,29.0,12.0,33.0,42.0,53.0,0.0,58.0,84.0,236.0,2.0,88.0,23.0,23.0,24.0,23.0,22.0,21.0
top20,1.0,50.0,4.0,9.0,63.0,57.0,34.0,13.0,26.0,29.0,48.0,0.0,67.0,101.0,236.0,2.0,80.0,18.0,18.0,18.0,20.0,21.0,21.0
top30,3.0,47.0,2.0,7.0,44.0,41.0,26.0,9.0,27.0,33.0,51.0,0.0,58.0,92.0,235.0,2.0,82.0,18.0,22.0,20.0,27.0,21.0,21.0
top40,3.0,48.0,3.0,10.0,54.0,43.0,18.0,4.0,36.0,19.0,56.0,0.0,81.0,92.0,235.0,1.0,82.0,13.0,15.0,16.0,15.0,14.0,13.0
top50,7.0,44.0,3.0,2.0,54.0,52.0,20.0,9.0,32.0,24.0,59.0,0.0,65.0,96.0,237.0,3.0,82.0,14.0,15.0,13.0,17.0,21.0,17.0
top60,9.0,53.0,3.0,9.0,48.0,42.0,32.0,10.0,35.0,20.0,52.0,0.0,71.0,83.0,235.0,3.0,71.0,20.0,23.0,24.0,24.0,25.0,25.0
top70,7.0,39.0,0.0,9.0,35.0,35.0,13.0,4.0,24.0,10.0,56.0,0.0,57.0,75.0,236.0,1.0,76.0,18.0,25.0,22.0,30.0,27.0,26.0
top80,6.0,43.0,2.0,6.0,34.0,29.0,16.0,15.0,38.0,17.0,54.0,0.0,78.0,96.0,236.0,1.0,75.0,17.0,22.0,22.0,19.0,20.0,22.0
top90,8.0,37.0,2.0,6.0,35.0,33.0,19.0,17.0,46.0,13.0,51.0,0.0,84.0,94.0,235.0,13.0,88.0,30.0,28.0,26.0,30.0,28.0,31.0
top100,13.0,30.0,0.0,6.0,32.0,34.0,16.0,11.0,28.0,10.0,58.0,0.0,70.0,100.0,237.0,7.0,74.0,37.0,37.0,37.0,32.0,37.0,40.0
