,Closeness,Drug_bank,MGI_essential,Haploinsufficient,highPhi,highPLI_Exac,highShet_Cassa,MissenseZ_Samocha,Autosomal_dominant,OMIM_diseasegenes,TF,high_EDS,Olfactory,Clinvar,GWAS_nearest,Universe,eQTL_deficient,Genes_withSNPs_r01_100kb,Genes_withSNPs_r03_100kb,Genes_withSNPs_r05_100kb,Genes_withSNPs_allSNPs_100kb,Genes_withSNPs_r01_10kb,Genes_withSNPs_r03_10kb,Genes_withSNPs_r05_10kb,Genes_withSNPs_all_SNPs_10kb
Closeness,1,0.028891549,0.222312635,0.062166962,0.173033485,0.346358769,0.258816216,0.208025957,0.073996133,0.097984991,-0.004187114,0.066705634,-0.152515337,0.141793131,0.080387506,-0.013411468,-0.149514534,-0.194398929,-0.198253784,-0.167855813,-0.195105991,-0.148735937,-0.163737269,-0.167297109,-0.198309039
Drug_bank,0.028891549,1,0.102263504,0.00800546,0.010231645,0.035291247,0.017778995,0.057321071,0.090324237,0.13137005,-0.021026527,0.027778707,-0.019588639,0.09278353,0.067230409,0.005217094,0.001761932,-0.027951059,-0.025644327,-0.018537526,-0.024345575,-0.025586504,-0.019401,-0.015477429,-0.026407237
MGI_essential,0.222312635,0.102263504,1,0.166787258,0.122845406,0.243746904,0.184778134,0.167162611,0.190145908,0.244261338,0.148176216,0.151997789,-0.053270082,0.220944879,0.121359976,0.014187563,-0.032160479,-0.070718623,-0.070608962,-0.059064085,-0.075471159,-0.05789148,-0.056129686,-0.057838381,-0.078692572
Haploinsufficient,0.062166962,0.00800546,0.166787258,1,0.087708222,0.102457055,0.090057469,0.076212735,0.317567131,0.179056861,0.093382237,0.089949857,-0.011330233,0.131830808,0.044791015,0.003017611,-0.007809316,-0.018469988,-0.014368432,-0.010276171,-0.01641752,-0.012862374,-0.015078785,-0.015003983,-0.016886039
highPhi,0.173033485,0.010231645,0.122845406,0.087708222,1,0.334258103,0.176388242,0.171992337,0.053537353,0.036309252,0.007391186,0.066195197,-0.025301775,0.077676321,0.089169539,0.006738689,-0.023713678,-0.064621002,-0.062837752,-0.059723867,-0.060845528,-0.062367729,-0.061485212,-0.059383076,-0.061667649
highPLI_Exac,0.346358769,0.035291247,0.243746904,0.102457055,0.334258103,1,0.606511861,0.387262739,0.088941825,0.045284832,0.06891343,0.145509384,-0.06012148,0.096263692,0.135044062,0.016012314,-0.060038685,-0.137764958,-0.138580441,-0.128844837,-0.137013178,-0.125762127,-0.129854916,-0.128580183,-0.13581953
highShet_Cassa,0.258816216,0.017778995,0.184778134,0.090057469,0.176388242,0.606511861,1,0.328464121,0.0605882,0.009870663,0.083110354,0.11056537,-0.032740052,0.034570572,0.067973171,0.014998686,-0.031828934,-0.051452045,-0.055306693,-0.048159879,-0.049251582,-0.045341947,-0.049193696,-0.053281804,-0.047067112
MissenseZ_Samocha,0.208025957,0.057321071,0.167162611,0.076212735,0.171992337,0.387262739,0.328464121,1,0.069595264,0.031127869,0.026182547,0.08249286,-0.025825099,0.068316663,0.051370707,0.010763075,-0.026347006,-0.046987645,-0.046037532,-0.056663969,-0.048405856,-0.059345817,-0.06086406,-0.064506004,-0.048294902
Autosomal_dominant,0.073996133,0.090324237,0.190145908,0.317567131,0.053537353,0.088941825,0.0605882,0.069595264,1,0.425818144,0.037421989,0.09188474,-0.027775221,0.294339979,0.060813731,0.007397449,-0.001581236,-0.026845669,-0.025307748,-0.012902789,-0.024313809,-0.012254383,-0.007916923,-0.005875007,-0.023864094
OMIM_diseasegenes,0.097984991,0.13137005,0.244261338,0.179056861,0.036309252,0.045284832,0.009870663,0.031127869,0.425818144,1,-0.012593464,0.075844199,-0.050387678,0.541214845,0.080338774,0.013419885,-0.029400416,-0.085898244,-0.086769086,-0.073621081,-0.081319227,-0.06228553,-0.062576554,-0.060607192,-0.079664994
TF,-0.004187114,-0.021026527,0.148176216,0.093382237,0.007391186,0.06891343,0.083110354,0.026182547,0.037421989,-0.012593464,1,0.109087589,-0.042147738,-0.006339275,0.00866132,0.01122532,0.013133314,-0.022880577,-0.020812771,-0.006722715,-0.024283099,-0.01611951,-0.008270997,-0.009800065,-0.034214691
high_EDS,0.066705634,0.027778707,0.151997789,0.089949857,0.066195197,0.145509384,0.11056537,0.08249286,0.09188474,0.075844199,0.109087589,1,-0.05075609,0.088392917,0.125491508,0.015012032,-0.031923807,-0.076905618,-0.067619289,-0.052368785,-0.06788917,-0.056015692,-0.059851452,-0.058956237,-0.079486593
Olfactory,-0.152515337,-0.019588639,-0.053270082,-0.011330233,-0.025301775,-0.06012148,-0.032740052,-0.025825099,-0.027775221,-0.050387678,-0.042147738,-0.05075609,1,-0.085073415,-0.063558469,0.005217094,0.137228308,0.360876423,0.360096935,0.378170668,0.354358263,0.316153584,0.328183812,0.338951343,0.336644455
Clinvar,0.141793131,0.09278353,0.220944879,0.131830808,0.077676321,0.096263692,0.034570572,0.068316663,0.294339979,0.541214845,-0.006339275,0.088392917,-0.085073415,1,0.087510071,0.022890031,-0.050708343,-0.125108616,-0.120828854,-0.101222696,-0.122023721,-0.082583772,-0.085437522,-0.082883987,-0.114013771
GWAS_nearest,0.080387506,0.067230409,0.121359976,0.044791015,0.089169539,0.135044062,0.067973171,0.051370707,0.060813731,0.080338774,0.00866132,0.125491508,-0.063558469,0.087510071,1,0.026567115,-0.052812926,-0.10514375,-0.101306332,-0.111854134,-0.105537103,-0.111103157,-0.102551294,-0.096351076,-0.094859336
Universe,-0.013411468,0.005217094,0.014187563,0.003017611,0.006738689,0.016012314,0.014998686,0.010763075,0.007397449,0.013419885,0.01122532,0.015012032,0.005217094,0.022890031,0.026567115,1,-0.000953839,0.013324515,0.013352811,0.012725918,0.013338667,0.012859902,0.012881553,0.012856291,0.013500838
eQTL_deficient,-0.149514534,0.001761932,-0.032160479,-0.007809316,-0.023713678,-0.060038685,-0.031828934,-0.026347006,-0.001581236,-0.029400416,0.013133314,-0.031923807,0.137228308,-0.050708343,-0.052812926,-0.000953839,1,0.181750449,0.186779348,0.203514011,0.184266856,0.1747902,0.191575326,0.19114071,0.190342835
Genes_withSNPs_r01_100kb,-0.194398929,-0.027951059,-0.070718623,-0.018469988,-0.064621002,-0.137764958,-0.051452045,-0.046987645,-0.026845669,-0.085898244,-0.022880577,-0.076905618,0.360876423,-0.125108616,-0.10514375,0.013324515,0.181750449,1,0.916207302,0.836130764,0.879512982,0.658201801,0.702775111,0.700471095,0.828129264
Genes_withSNPs_r03_100kb,-0.198253784,-0.025644327,-0.070608962,-0.014368432,-0.062837752,-0.138580441,-0.055306693,-0.046037532,-0.025307748,-0.086769086,-0.020812771,-0.067619289,0.360096935,-0.120828854,-0.101306332,0.013352811,0.186779348,0.916207302,1,0.902472967,0.888188994,0.650661769,0.714771964,0.722855579,0.83836039
Genes_withSNPs_r05_100kb,-0.167855813,-0.018537526,-0.059064085,-0.010276171,-0.059723867,-0.128844837,-0.048159879,-0.056663969,-0.012902789,-0.073621081,-0.006722715,-0.052368785,0.378170668,-0.101222696,-0.111854134,0.012725918,0.203514011,0.836130764,0.902472967,1,0.825861299,0.685000195,0.761197882,0.782607676,0.783972499
Genes_withSNPs_allSNPs_100kb,-0.195105991,-0.024345575,-0.075471159,-0.01641752,-0.060845528,-0.137013178,-0.049251582,-0.048405856,-0.024313809,-0.081319227,-0.024283099,-0.06788917,0.354358263,-0.122023721,-0.105537103,0.013338667,0.184266856,0.879512982,0.888188994,0.825861299,1,0.633419291,0.68289211,0.696935246,0.887630702
Genes_withSNPs_r01_10kb,-0.148735937,-0.025586504,-0.05789148,-0.012862374,-0.062367729,-0.125762127,-0.045341947,-0.059345817,-0.012254383,-0.06228553,-0.01611951,-0.056015692,0.316153584,-0.082583772,-0.111103157,0.012859902,0.1747902,0.658201801,0.650661769,0.685000195,0.633419291,1,0.778512012,0.740260219,0.652475663
