,Closeness,Drug_bank,MGI_essential,Haploinsufficient,highPhi,highPLI_Exac,highShet_Cassa,MissenseZ_Samocha,Autosomal_dominant,OMIM_diseasegenes,TF,high_EDS,Olfactory,Clinvar,GWAS_nearest,Universe,eQTL_deficient,Genes_withSNPs_r01_100kb,Genes_withSNPs_r03_100kb,Genes_withSNPs_r05_100kb,Genes_withSNPs_allSNPs_100kb,Genes_withSNPs_r01_10kb,Genes_withSNPs_r03_10kb,Genes_withSNPs_r05_10kb,Genes_withSNPs_all_SNPs_10kb
Closeness,1,0.071261261,0.199397253,0.039793899,0.082159617,0.21791053,0.171532731,0.168094548,0.087412937,0.120377614,-0.107967733,-0.003576884,0.073948737,0.123845421,0.052606426,-0.0144829,-0.048615794,-0.010418457,-0.009238552,-0.008390378,-0.002607163,-0.023812871,-0.029323551,-0.028105311,-0.009010341
Drug_bank,0.071261261,1,0.100101484,0.007188979,0.00786084,0.029066521,0.013680923,0.059070771,0.090350939,0.130537732,-0.024320703,0.026825548,-0.021543784,0.092374328,0.067830869,0.005776845,0.005402002,-0.02076171,-0.018336869,-0.014204724,-0.017044038,-0.022363235,-0.015003067,-0.010703665,-0.01932764
MGI_essential,0.199397253,0.100101484,1,0.164851614,0.115834602,0.231973411,0.180044978,0.168359079,0.189230516,0.237710648,0.142606079,0.149514461,-0.059188709,0.214394623,0.116771073,0.01587112,-0.024705095,-0.054710103,-0.054219074,-0.051772566,-0.061238518,-0.051438741,-0.047312542,-0.050286675,-0.063439056
Haploinsufficient,0.039793899,0.007188979,0.164851614,1,0.088169686,0.102203642,0.090031733,0.077050519,0.321572376,0.178809004,0.093884803,0.093476336,-0.012436537,0.132794671,0.043737883,0.003334788,-0.005821469,-0.014685433,-0.009994828,-0.007645922,-0.012554518,-0.010676107,-0.013005866,-0.013005866,-0.013019863
highPhi,0.082159617,0.00786084,0.115834602,0.088169686,1,0.33124968,0.175318019,0.177270322,0.051278481,0.030387725,0.003011575,0.064716066,-0.027976854,0.072762758,0.088052255,0.007501836,-0.020717359,-0.061023822,-0.059182434,-0.059365356,-0.05705914,-0.062463868,-0.061167928,-0.058928277,-0.057831765
highPLI_Exac,0.21791053,0.029066521,0.231973411,0.102203642,0.33124968,1,0.612890855,0.398973815,0.083432605,0.031099668,0.062863551,0.139559855,-0.067127165,0.083075913,0.130053161,0.017999772,-0.054108301,-0.12755114,-0.129224242,-0.127490976,-0.127923429,-0.124826366,-0.12816692,-0.127075371,-0.126043402
highShet_Cassa,0.171532731,0.013680923,0.180044978,0.090031733,0.175318019,0.612890855,1,0.328523014,0.055914076,-0.002421052,0.082132271,0.108907886,-0.038897478,0.022963656,0.066708465,0.016497001,-0.031709707,-0.045328857,-0.050855227,-0.046772844,-0.042533984,-0.044967337,-0.047841399,-0.052471696,-0.040393289
MissenseZ_Samocha,0.168094548,0.059070771,0.168359079,0.077050519,0.177270322,0.398973815,0.328523014,1,0.070719955,0.026538518,0.022206464,0.082448455,-0.032362417,0.06770853,0.052226919,0.011610775,-0.020858144,-0.058152136,-0.058243079,-0.056306128,-0.057747669,-0.058031572,-0.057670586,-0.062986975,-0.055437974
Autosomal_dominant,0.087412937,0.090350939,0.189230516,0.321572376,0.051278481,0.083432605,0.055914076,0.070719955,1,0.425419586,0.034002008,0.093018746,-0.030531317,0.296035115,0.057965698,0.008186801,-0.000768469,-0.017223078,-0.015873149,-0.007850074,-0.015065988,-0.008383555,-0.003922148,-0.001855927,-0.014292681
OMIM_diseasegenes,0.120377614,0.130537732,0.237710648,0.178809004,0.030387725,0.031099668,-0.002421052,0.026538518,0.425419586,1,-0.020246137,0.070111232,-0.055494939,0.546736155,0.073625195,0.014880656,-0.026004772,-0.072227264,-0.075232308,-0.069404295,-0.069285307,-0.057959248,-0.057459045,-0.054964892,-0.066248707
TF,-0.107967733,-0.024320703,0.142606079,0.093884803,0.003011575,0.062863551,0.082132271,0.022206464,0.034002008,-0.020246137,1,0.108146477,-0.045658722,-0.015237353,0.002270948,0.01224313,0.020294336,-0.008691744,-0.005483901,-0.000864176,-0.011736983,-0.011298752,-0.001355484,-0.00571632,-0.021764899
high_EDS,-0.003576884,0.026825548,0.149514461,0.093476336,0.064716066,0.139559855,0.108907886,0.082448455,0.093018746,0.070111232,0.108146477,1,-0.054820109,0.083725705,0.129199098,0.016309099,-0.025387745,-0.063848951,-0.052767211,-0.048634682,-0.057910315,-0.054301288,-0.056065758,-0.056649204,-0.068968518
Olfactory,0.073948737,-0.021543784,-0.059188709,-0.012436537,-0.027976854,-0.067127165,-0.038897478,-0.032362417,-0.030531317,-0.055494939,-0.045658722,-0.054820109,1,-0.092713988,-0.069780066,0.005683921,0.166572045,0.421456901,0.418507917,0.417282032,0.416118507,0.349135922,0.361820909,0.372009883,0.399521029
Clinvar,0.123845421,0.092374328,0.214394623,0.132794671,0.072762758,0.083075913,0.022963656,0.06770853,0.296035115,0.546736155,-0.015237353,0.083725705,-0.092713988,1,0.08324688,0.02511236,-0.046111845,-0.10178367,-0.098242103,-0.094948052,-0.102560227,-0.07485456,-0.07715062,-0.074870111,-0.093676944
GWAS_nearest,0.052606426,0.067830869,0.116771073,0.043737883,0.088052255,0.130053161,0.066708465,0.052226919,0.057965698,0.073625195,0.002270948,0.129199098,-0.069780066,0.08324688,1,0.028778627,-0.045770097,-0.103328634,-0.100414987,-0.097469303,-0.1068655,-0.097870398,-0.087311695,-0.082966787,-0.094389489
Universe,-0.0144829,0.005776845,0.01587112,0.003334788,0.007501836,0.017999772,0.016497001,0.011610775,0.008186801,0.014880656,0.01224313,0.016309099,0.005683921,0.02511236,0.028778627,1,-0.002822072,0.012397912,0.012483875,0.012519959,0.012510944,0.012690479,0.012654699,0.012654699,0.012659175
eQTL_deficient,-0.048615794,0.005402002,-0.024705095,-0.005821469,-0.020717359,-0.054108301,-0.031709707,-0.020858144,-0.000768469,-0.026004772,0.020294336,-0.025387745,0.166572045,-0.046111845,-0.045770097,-0.002822072,1,0.191356031,0.198496802,0.193943866,0.192860465,0.161655322,0.178642588,0.176129458,0.192374445
Genes_withSNPs_r01_100kb,-0.010418457,-0.02076171,-0.054710103,-0.014685433,-0.061023822,-0.12755114,-0.045328857,-0.058152136,-0.017223078,-0.072227264,-0.008691744,-0.063848951,0.421456901,-0.10178367,-0.103328634,0.012397912,0.191356031,1,0.91237799,0.885033262,0.869711565,0.686267113,0.727929556,0.72936829,0.816831274
Genes_withSNPs_r03_100kb,-0.009238552,-0.018336869,-0.054219074,-0.009994828,-0.059182434,-0.129224242,-0.050855227,-0.058243079,-0.015873149,-0.075232308,-0.005483901,-0.052767211,0.418507917,-0.098242103,-0.100414987,0.012483875,0.198496802,0.91237799,1,0.950216052,0.883039991,0.676118579,0.738998847,0.749013392,0.828110896
Genes_withSNPs_r05_100kb,-0.008390378,-0.014204724,-0.051772566,-0.007645922,-0.059365356,-0.127490976,-0.046772844,-0.056306128,-0.007850074,-0.069404295,-0.000864176,-0.048634682,0.417282032,-0.094948052,-0.097469303,0.012519959,0.193943866,0.885033262,0.950216052,1,0.873948524,0.67469965,0.744571987,0.767408663,0.819917094
Genes_withSNPs_allSNPs_100kb,-0.002607163,-0.017044038,-0.061238518,-0.012554518,-0.05705914,-0.127923429,-0.042533984,-0.057747669,-0.015065988,-0.069285307,-0.011736983,-0.057910315,0.416118507,-0.102560227,-0.1068655,0.012510944,0.192860465,0.869711565,0.883039991,0.873948524,1,0.662407517,0.709441031,0.725150449,0.879783956
Genes_withSNPs_r01_10kb,-0.023812871,-0.022363235,-0.051438741,-0.010676107,-0.062463868,-0.124826366,-0.044967337,-0.058031572,-0.008383555,-0.057959248,-0.011298752,-0.054301288,0.349135922,-0.07485456,-0.097870398,0.012690479,0.161655322,0.686267113,0.676118579,0.67469965,0.662407517,1,0.767070969,0.728954657,0.680693926
Genes_withSNPs_r03_10kb,-0.029323551,-0.015003067,-0.047312542,-0.013005866,-0.061167928,-0.12816692,-0.047841399,-0.057670586,-0.003922148,-0.057459045,-0.001355484,-0.056065758,0.361820909,-0.07715062,-0.087311695,0.012654699,0.178642588,0.727929556,0.738998847,0.744571987,0.709441031,0.767070969,1,0.878314738,0.7301766
Genes_withSNPs_r05_10kb,-0.028105311,-0.010703665,-0.050286675,-0.013005866,-0.058928277,-0.127075371,-0.052471696,-0.062986975,-0.001855927,-0.054964892,-0.00571632,-0.056649204,0.372009883,-0.074870111,-0.082966787,0.012654699,0.176129458,0.72936829,0.749013392,0.767408663,0.725150449,0.728954657,0.878314738,1,0.749272887
Genes_withSNPs_all_SNPs_10kb,-0.009010341,-0.01932764,-0.063439056,-0.013019863,-0.057831765,-0.126043402,-0.040393289,-0.055437974,-0.014292681,-0.066248707,-0.021764899,-0.068968518,0.399521029,-0.093676944,-0.094389489,0.012659175,0.192374445,0.816831274,0.828110896,0.819917094,0.879783956,0.680693926,0.7301766,0.749272887,1
