,Closeness,Drug_bank,MGI_essential,Haploinsufficient,highPhi,highPLI_Exac,highShet_Cassa,MissenseZ_Samocha,Autosomal_dominant,OMIM_diseasegenes,TF,high_EDS,Olfactory,Clinvar,GWAS_nearest,Universe,eQTL_deficient,Genes_withSNPs_r01_100kb,Genes_withSNPs_r03_100kb,Genes_withSNPs_r05_100kb,Genes_withSNPs_allSNPs_100kb,Genes_withSNPs_r01_10kb,Genes_withSNPs_r03_10kb,Genes_withSNPs_r05_10kb,Genes_withSNPs_all_SNPs_10kb
Closeness,1,0.009654765,-0.013467453,-0.004249487,-0.010551211,-0.026856474,-0.022357015,-0.017517719,0.008064365,-0.015180081,0.001107854,-0.004276209,-0.000888765,-0.004592054,-0.00997913,0.005414259,0.096005507,0.090156279,0.0821948,0.079471997,0.079782439,0.072027562,0.076290862,0.077948072,0.07736033
Drug_bank,0.009654765,1,0.124530676,0.015464264,-0.017902179,0.047492158,0.00378447,0.038761521,0.048009561,0.109083901,-0.03421394,0.026322961,-0.003194618,0.083083528,0.056421391,0.009047862,0.050095366,-0.004932422,0.002205837,0.010597985,-0.014877069,-0.020767196,-0.012435079,-0.010700405,-0.016972989
MGI_essential,-0.013467453,0.124530676,1,0.147144829,0.097558907,0.22754574,0.153933375,0.128944549,0.159390304,0.236176857,0.173223635,0.169660821,-0.008841495,0.211984645,0.092554936,0.025041064,-0.02956956,-0.01977081,-0.012849091,-0.009788906,-0.034267536,-0.016465282,-0.033195304,-0.035403333,-0.036630233
Haploinsufficient,-0.004249487,0.015464264,0.147144829,1,0.034671359,0.044644821,0.049241744,0.053016473,0.323509851,0.141253116,0.087614779,0.08970514,-0.001627724,0.128055146,0.044546426,0.004610074,-0.008965263,0.042646523,0.041226097,0.041027554,0.04142571,0.019843145,0.019986464,0.021304452,0.022989015
highPhi,-0.010551211,-0.017902179,0.097558907,0.034671359,1,0.321416852,0.143630731,0.176414019,0.041756552,0.027111833,-0.000769912,0.08602536,-0.003712395,0.10030933,0.090261336,0.01051432,0.038333106,-0.056664412,-0.0576678,-0.057810193,-0.057525174,-0.061982136,-0.061845954,-0.060611821,-0.059081539
highPLI_Exac,-0.026856474,0.047492158,0.22754574,0.044644821,0.321416852,1,0.578313025,0.35083474,0.060623016,0.053194975,0.092540946,0.20127365,-0.009222757,0.124937763,0.124523008,0.026120879,0.014342844,-0.108235301,-0.114763406,-0.118730884,-0.114350336,-0.123759545,-0.120003336,-0.116382512,-0.108364867
highShet_Cassa,-0.022357015,0.00378447,0.153933375,0.049241744,0.143630731,0.578313025,1,0.265072863,0.030376205,0.016589995,0.132512348,0.161650063,-0.00878147,0.046135013,0.068001007,0.024871057,0.009276774,-0.022065976,-0.03710049,-0.033969938,-0.032872728,-0.046072763,-0.038625543,-0.044521809,-0.02078349
MissenseZ_Samocha,-0.017517719,0.038761521,0.128944549,0.053016473,0.176414019,0.35083474,0.265072863,1,0.061559763,0.025075204,0.024765046,0.07693974,-0.006257753,0.071542744,0.029024613,0.017723336,0.002638198,-0.033050826,-0.021444083,-0.017113657,-0.025792465,-0.037529061,-0.041651752,-0.043084059,-0.025329976
Autosomal_dominant,0.008064365,0.048009561,0.159390304,0.323509851,0.041756552,0.060623016,0.030376205,0.061559763,1,0.400900302,0.0127761,0.075048309,-0.004155018,0.298075811,0.066452277,0.011767928,0.030095082,0.032630758,0.030112351,0.036506566,0.023692002,0.019849856,0.026545264,0.035995626,0.00677141
OMIM_diseasegenes,-0.015180081,0.109083901,0.236176857,0.141253116,0.027111833,0.053194975,0.016589995,0.025075204,0.400900302,1,-0.027519541,0.065717292,-0.007811705,0.563560989,0.082630465,0.022124471,0.01950499,-0.074698026,-0.081446338,-0.077845826,-0.089060346,-0.055206018,-0.069856098,-0.05860551,-0.077390991
