,Closeness,Drug_bank,MGI_essential,Haploinsufficient,highPhi,highPLI_Exac,highShet_Cassa,MissenseZ_Samocha,Autosomal_dominant,OMIM_diseasegenes,TF,high_EDS,Olfactory,Clinvar,GWAS_nearest,Universe,eQTL_deficient,Genes_withSNPs_r01_100kb,Genes_withSNPs_r03_100kb,Genes_withSNPs_r05_100kb,Genes_withSNPs_allSNPs_100kb,Genes_withSNPs_r01_10kb,Genes_withSNPs_r03_10kb,Genes_withSNPs_r05_10kb,Genes_withSNPs_all_SNPs_10kb
Closeness,1,0.022584333,0.173347163,0.071933616,0.080178936,0.160621981,0.129841664,0.093077323,0.064506853,0.042074217,0.313012975,0.095741601,-0.017865881,0.052619679,0.069251106,0.007544586,0.006590885,-0.019163738,-0.011717775,-0.012419965,-0.025799109,-0.021519575,-0.024320278,-0.014824419,-0.035346638
Drug_bank,0.022584333,1,0.086895989,-0.00784469,0.006724043,0.021134649,0.006007905,0.047279983,0.08702663,0.119185076,-0.017190283,0.01629661,-0.005619417,0.092184825,0.063934621,0.004865684,0.005002821,-0.019414169,-0.019496719,-0.020313197,-0.016341908,-0.012917849,-0.00787566,-0.003097497,-0.02127226
MGI_essential,0.173347163,0.086895989,1,0.173922275,0.115884407,0.255720429,0.176246417,0.179056484,0.226938045,0.254176691,0.244643278,0.194880598,-0.017884904,0.230409507,0.139693516,0.015486001,-0.011960492,0.002160369,-0.001925505,0.005820365,-0.014322938,0.003994628,-0.003990955,-0.00578711,-0.0328524
Haploinsufficient,0.071933616,-0.00784469,0.173922275,1,0.048611269,0.116629721,0.099114477,0.080122016,0.361514398,0.253353059,0.111582475,0.097183317,-0.004629147,0.17587834,0.030572472,0.004008239,-0.002524847,-0.00838238,0.003541496,0.008552991,-0.004202239,0.006006013,0.000520463,0.000520463,-0.010124511
highPhi,0.080178936,0.006724043,0.115884407,0.048611269,1,0.34068831,0.185892146,0.153978322,0.043464572,0.025950613,-0.015349474,0.042589346,-0.008564017,0.081550034,0.082170422,0.007415325,-0.022984104,-0.0599698,-0.06005721,-0.060926233,-0.061871845,-0.063229009,-0.062976134,-0.062976134,-0.061957291
highPLI_Exac,0.160621981,0.021134649,0.255720429,0.116629721,0.34068831,1,0.629267649,0.381685801,0.080487069,0.054600331,0.089237069,0.10622444,-0.02035658,0.100596575,0.131525936,0.017626151,-0.059412167,-0.11652797,-0.120233526,-0.122577734,-0.126807409,-0.118805749,-0.124748567,-0.128074575,-0.121975233
highShet_Cassa,0.129841664,0.006007905,0.176246417,0.099114477,0.185892146,0.629267649,1,0.332808208,0.045454649,0.023905902,0.11394291,0.086413873,-0.018495661,0.055200566,0.050991912,0.016014837,-0.038232751,-0.056133084,-0.065575933,-0.064626695,-0.060409564,-0.045409727,-0.058621196,-0.065656471,-0.058897374
MissenseZ_Samocha,0.093077323,0.047279983,0.179056484,0.080122016,0.153978322,0.381685801,0.332808208,1,0.078166358,0.037432642,0.051702266,0.092590544,-0.012022206,0.075744553,0.052583726,0.010409667,-0.023355949,-0.044043651,-0.04171137,-0.038508691,-0.040456615,-0.048011396,-0.054732324,-0.059542876,-0.035753275
Autosomal_dominant,0.064506853,0.08702663,0.226938045,0.361514398,0.043464572,0.080487069,0.045454649,0.078166358,1,0.424343189,0.093145375,0.110725564,-0.008226458,0.297786709,0.062513222,0.007123043,0.015917686,0.012158822,0.018954359,0.034375393,0.008473749,0.002585294,0.003045617,0.013078169,0.004919777
OMIM_diseasegenes,0.042074217,0.119185076,0.254176691,0.253353059,0.025950613,0.054600331,0.023905902,0.037432642,0.424343189,1,0.020453827,0.063665152,-0.014925528,0.522184339,0.081811783,0.012923566,-0.028193428,-0.047252814,-0.04959572,-0.041331415,-0.047964012,-0.045354126,-0.038590912,-0.038590912,-0.046122026
