,Closeness,Drug_bank,MGI_essential,Haploinsufficient,highPhi,highPLI_Exac,highShet_Cassa,MissenseZ_Samocha,Autosomal_dominant,OMIM_diseasegenes,TF,high_EDS,Olfactory,Clinvar,GWAS_nearest,Universe,eQTL_deficient,Genes_withSNPs_r01_100kb,Genes_withSNPs_r03_100kb,Genes_withSNPs_r05_100kb,Genes_withSNPs_allSNPs_100kb,Genes_withSNPs_r01_10kb,Genes_withSNPs_r03_10kb,Genes_withSNPs_r05_10kb,Genes_withSNPs_all_SNPs_10kb
Closeness,1,-0.032830914,0.043089501,0.02129677,0.004196147,0.047869868,0.044579377,0.015754378,0.000629344,0.019306238,0.090596787,0.007037055,-0.033986194,0.020345346,-0.000161802,-0.001792627,-0.033891752,-0.047473902,-0.042437257,-0.043004798,-0.045687958,-0.043360896,-0.046383378,-0.05020544,-0.061021068
Drug_bank,-0.032830914,1,0.096292284,0.006761646,0.013208084,0.033444818,0.016304199,0.056185965,0.087638502,0.138263346,-0.021372574,0.020232681,-0.006855801,0.092574734,0.063809271,0.005466877,0.012438627,-0.01915358,-0.015712691,-0.012654808,-0.012882889,-0.017090112,-0.011238476,-0.006271418,-0.01624318
MGI_essential,0.043089501,0.096292284,1,0.152239337,0.122687816,0.234266607,0.17251797,0.162645354,0.188823488,0.240074859,0.162218474,0.150881833,-0.018631526,0.210232845,0.117642711,0.014856945,-0.015886105,-0.028013938,-0.029421803,-0.028033904,-0.036965758,-0.02681889,-0.026577264,-0.028850068,-0.041993846
Haploinsufficient,0.02129677,0.006761646,0.152239337,1,0.065430346,0.124955566,0.117008958,0.079717861,0.273432892,0.223817774,0.090232565,0.067673135,-0.00486699,0.158074811,0.025688944,0.003880981,-0.008182761,-0.015134859,-0.010190725,-0.008074707,-0.013270548,-0.012449813,-0.014498202,-0.014681177,-0.014314128
highPhi,0.004196147,0.013208084,0.122687816,0.065430346,1,0.313399499,0.159765011,0.168971628,0.054304156,0.029669007,0.010933292,0.058682128,-0.008683086,0.069985947,0.087013581,0.006923971,-0.015119748,-0.049767078,-0.048491422,-0.048973571,-0.047716948,-0.052601121,-0.050712459,-0.049544419,-0.04906554
highPLI_Exac,0.047869868,0.033444818,0.234266607,0.124955566,0.313399499,1,0.610593979,0.395412409,0.080463513,0.062387115,0.071056152,0.123671326,-0.021632233,0.1020655,0.110958008,0.017249736,-0.047410842,-0.107418696,-0.109305539,-0.109234525,-0.109738965,-0.108009453,-0.113261679,-0.113231962,-0.109298612
highShet_Cassa,0.044579377,0.016304199,0.17251797,0.117008958,0.159765011,0.610593979,1,0.322496089,0.044588767,0.030897506,0.085690997,0.082216664,-0.005058954,0.057821069,0.046278894,0.016292328,-0.027250222,-0.033948201,-0.040362366,-0.037839196,-0.032865708,-0.032862839,-0.041346854,-0.046992202,-0.032893695
MissenseZ_Samocha,0.015754378,0.056185965,0.162645354,0.079717861,0.168971628,0.395412409,0.322496089,1,0.078909212,0.045302123,0.030157225,0.085011269,-0.013723271,0.080553141,0.045852163,0.010943059,-0.018013541,-0.040711595,-0.04112305,-0.041209733,-0.043534948,-0.046954732,-0.044973448,-0.05106309,-0.042592853
Autosomal_dominant,0.000629344,0.087638502,0.188823488,0.273432892,0.054304156,0.080463513,0.044588767,0.078909212,1,0.409168286,0.049831732,0.090067709,-0.009438887,0.277165824,0.060769904,0.007526653,0.007627646,-0.005315785,-0.001618808,0.004144037,-0.004251183,-0.00032782,0.000643774,-0.001115772,-0.005426548
OMIM_diseasegenes,0.019306238,0.138263346,0.240074859,0.223817774,0.029669007,0.062387115,0.030897506,0.045302123,0.409168286,1,-0.003749073,0.06479137,-0.017939716,0.537456211,0.070280313,0.01430529,-0.018594954,-0.053284317,-0.056173375,-0.052082446,-0.052620362,-0.041949248,-0.045717913,-0.044162653,-0.050319817
TF,0.090596787,-0.021372574,0.162218474,0.090232565,0.010933292,0.071056152,0.085690997,0.030157225,0.049831732,-0.003749073,1,0.131227766,-0.014094839,0.003677955,0.012857615,0.01123935,0.027919845,0.021015521,0.025134458,0.029157956,0.017264177,0.014403812,0.023286605,0.020691425,0.000204137
high_EDS,0.007037055,0.020232681,0.150881833,0.067673135,0.058682128,0.123671326,0.082216664,0.085011269,0.090067709,0.06479137,0.131227766,1,-0.019139016,0.070290161,0.127471847,0.015261622,-0.023367733,-0.031678101,-0.021863137,-0.018419899,-0.027242903,-0.021523898,-0.026206545,-0.027040985,-0.04345754
Olfactory,-0.033986194,-0.006855801,-0.018631526,-0.00486699,-0.008683086,-0.021632233,-0.005058954,-0.013723271,-0.009438887,-0.017939716,-0.014094839,-0.019139016,1,-0.030789156,-0.022058983,0.001733384,0.047753419,0.129157303,0.128659791,0.12740272,0.121338667,0.100258674,0.112160918,0.111636695,0.118155687
Clinvar,0.020345346,0.092574734,0.210232845,0.158074811,0.069985947,0.1020655,0.057821069,0.080553141,0.277165824,0.537456211,0.003677955,0.070290161,-0.030789156,1,0.064882784,0.024551548,-0.027924304,-0.073883301,-0.068006828,-0.065455388,-0.075491325,-0.053182273,-0.054279028,-0.053930074,-0.067347015
GWAS_nearest,-0.000161802,0.063809271,0.117642711,0.025688944,0.087013581,0.110958008,0.046278894,0.045852163,0.060769904,0.070280313,0.012857615,0.127471847,-0.022058983,0.064882784,1,0.027061358,-0.031245,-0.068777365,-0.06547967,-0.066174584,-0.077119814,-0.068271038,-0.05838678,-0.055579495,-0.068162248
Universe,-0.001792627,0.005466877,0.014856945,0.003880981,0.006923971,0.017249736,0.016292328,0.010943059,0.007526653,0.01430529,0.01123935,0.015261622,0.001733384,0.024551548,0.027061358,1,-0.005646705,0.009934881,0.009971572,0.010065471,0.010101816,0.010500634,0.010404492,0.010450111,0.010358731
eQTL_deficient,-0.033891752,0.012438627,-0.015886105,-0.008182761,-0.015119748,-0.047410842,-0.027250222,-0.018013541,0.007627646,-0.018594954,0.027919845,-0.023367733,0.047753419,-0.027924304,-0.031245,-0.005646705,1,0.132603268,0.142136284,0.138555813,0.134461696,0.12044699,0.132032775,0.134462617,0.132892232
Genes_withSNPs_r01_100kb,-0.047473902,-0.01915358,-0.028013938,-0.015134859,-0.049767078,-0.107418696,-0.033948201,-0.040711595,-0.005315785,-0.053284317,0.021015521,-0.031678101,0.129157303,-0.073883301,-0.068777365,0.009934881,0.132603268,1,0.88572948,0.860611602,0.840789016,0.648911868,0.698975619,0.699808275,0.784788001
Genes_withSNPs_r03_100kb,-0.042437257,-0.015712691,-0.029421803,-0.010190725,-0.048491422,-0.109305539,-0.040362366,-0.04112305,-0.001618808,-0.056173375,0.025134458,-0.021863137,0.128659791,-0.068006828,-0.06547967,0.009971572,0.142136284,0.88572948,1,0.945890305,0.84902878,0.63427229,0.715464248,0.726304456,0.78990175
Genes_withSNPs_r05_100kb,-0.043004798,-0.012654808,-0.028033904,-0.008074707,-0.048973571,-0.109234525,-0.037839196,-0.041209733,0.004144037,-0.052082446,0.029157956,-0.018419899,0.12740272,-0.065455388,-0.066174584,0.010065471,0.138555813,0.860611602,0.945890305,1,0.845021203,0.631813148,0.718417508,0.745131517,0.787258845
Genes_withSNPs_allSNPs_100kb,-0.045687958,-0.012882889,-0.036965758,-0.013270548,-0.047716948,-0.109738965,-0.032865708,-0.043534948,-0.004251183,-0.052620362,0.017264177,-0.027242903,0.121338667,-0.075491325,-0.077119814,0.010101816,0.134461696,0.840789016,0.84902878,0.845021203,1,0.627351301,0.681646711,0.692447667,0.855640244
Genes_withSNPs_r01_10kb,-0.043360896,-0.017090112,-0.02681889,-0.012449813,-0.052601121,-0.108009453,-0.032862839,-0.046954732,-0.00032782,-0.041949248,0.014403812,-0.021523898,0.100258674,-0.053182273,-0.068271038,0.010500634,0.12044699,0.648911868,0.63427229,0.631813148,0.627351301,1,0.741042584,0.696158888,0.644384278
Genes_withSNPs_r03_10kb,-0.046383378,-0.011238476,-0.026577264,-0.014498202,-0.050712459,-0.113261679,-0.041346854,-0.044973448,0.000643774,-0.045717913,0.023286605,-0.026206545,0.112160918,-0.054279028,-0.05838678,0.010404492,0.132032775,0.698975619,0.715464248,0.718417508,0.681646711,0.741042584,1,0.86535789,0.704678327
