,Closeness,Drug_bank,MGI_essential,Haploinsufficient,highPhi,highPLI_Exac,highShet_Cassa,MissenseZ_Samocha,Autosomal_dominant,OMIM_diseasegenes,TF,high_EDS,Olfactory,Clinvar,GWAS_nearest,Universe,eQTL_deficient,eGenes_ENTREZ_Whole_Blood.v7.signif_variant_gene_pairs,Genes_withSNPs_r01_100kb,Genes_withSNPs_r03_100kb,Genes_withSNPs_r05_100kb,Genes_withSNPs_allSNPs_100kb,Genes_withSNPs_r01_10kb,Genes_withSNPs_r03_10kb,Genes_withSNPs_r05_10kb,Genes_withSNPs_all_SNPs_10kb
Closeness,1,-0.024425206,-0.130509678,-0.025374169,-0.04452685,-0.153735322,-0.144836327,-0.074658323,-0.047682137,-0.070364728,0.034106312,-0.019298366,-0.000845633,-0.076303518,-0.041483593,0.001122599,0.049105535,-0.04718864,0.014228045,0.019184833,0.015680245,0.029734593,0.043672526,0.047287322,0.047179109,0.044804039
Drug_bank,-0.024425206,1,0.102263504,0.00800546,0.010231645,0.035291247,0.017778995,0.057321071,0.090324237,0.13137005,-0.021026527,0.027778707,-0.019588639,0.09278353,0.067230409,0.005217094,0.001761932,-0.011334383,0.007434488,0.001152943,0.005083772,-0.000707368,0.000864167,0.008984956,0.009174329,-0.009573964
MGI_essential,-0.130509678,0.102263504,1,0.166787258,0.122845406,0.243746904,0.184778134,0.167162611,0.190145908,0.244261338,0.148176216,0.151997789,-0.053270082,0.220944879,0.121359976,0.014187563,-0.032160479,-0.003772228,-0.008403253,-0.013149335,-0.008280158,-0.036103218,-0.028392305,-0.015775873,-0.011578687,-0.043067938
Haploinsufficient,-0.025374169,0.00800546,0.166787258,1,0.087708222,0.102457055,0.090057469,0.076212735,0.317567131,0.179056861,0.093382237,0.089949857,-0.011330233,0.131830808,0.044791015,0.003017611,-0.007809316,-0.029535517,-0.004388024,0.002455954,-0.002016751,-0.008998046,-0.009498837,-0.007118603,-0.004815689,-0.016160276
highPhi,-0.04452685,0.010231645,0.122845406,0.087708222,1,0.334258103,0.176388242,0.171992337,0.053537353,0.036309252,0.007391186,0.066195197,-0.025301775,0.077676321,0.089169539,0.006738689,-0.023713678,0.006604812,-0.027844769,-0.031697186,-0.033752071,-0.042460005,-0.045385577,-0.042039473,-0.043918231,-0.048525031
highPLI_Exac,-0.153735322,0.035291247,0.243746904,0.102457055,0.334258103,1,0.606511861,0.387262739,0.088941825,0.045284832,0.06891343,0.145509384,-0.06012148,0.096263692,0.135044062,0.016012314,-0.060038685,-0.004439469,-0.052605136,-0.039065344,-0.038569372,-0.070148472,-0.07796263,-0.067348023,-0.067906523,-0.088010975
highShet_Cassa,-0.144836327,0.017778995,0.184778134,0.090057469,0.176388242,0.606511861,1,0.328464121,0.0605882,0.009870663,0.083110354,0.11056537,-0.032740052,0.034570572,0.067973171,0.014998686,-0.031828934,-0.033994397,-0.042543291,-0.038287527,-0.035171262,-0.052583083,-0.044252259,-0.056742939,-0.053764992,-0.065507751
MissenseZ_Samocha,-0.074658323,0.057321071,0.167162611,0.076212735,0.171992337,0.387262739,0.328464121,1,0.069595264,0.031127869,0.026182547,0.08249286,-0.025825099,0.068316663,0.051370707,0.010763075,-0.026347006,-0.016799852,-0.022515551,-0.022051038,-0.020701336,-0.043208166,-0.042892325,-0.03631299,-0.032673167,-0.057041049
Autosomal_dominant,-0.047682137,0.090324237,0.190145908,0.317567131,0.053537353,0.088941825,0.0605882,0.069595264,1,0.425818144,0.037421989,0.09188474,-0.027775221,0.294339979,0.060813731,0.007397449,-0.001581236,-0.019116908,0.005033671,0.00728691,0.00728691,-9.20E-05,0.010530358,0.017575986,0.019717622,-0.010048027
OMIM_diseasegenes,-0.070364728,0.13137005,0.244261338,0.179056861,0.036309252,0.045284832,0.009870663,0.031127869,0.425818144,1,-0.012593464,0.075844199,-0.050387678,0.541214845,0.080338774,0.013419885,-0.029400416,0.028635881,-0.003880211,-0.011707347,-0.00493517,-0.008571324,-0.002764806,-0.000204785,-0.001991089,-0.010298407
