,Closeness,Drug_bank,MGI_essential,Haploinsufficient,highPhi,highPLI_Exac,highShet_Cassa,MissenseZ_Samocha,Autosomal_dominant,OMIM_diseasegenes,TF,high_EDS,Olfactory,Clinvar,GWAS_nearest,Universe,eQTL_deficient,eGenes_ENTREZ_Whole_Blood.v7.signif_variant_gene_pairs,Genes_withSNPs_r01_100kb,Genes_withSNPs_r03_100kb,Genes_withSNPs_r05_100kb,Genes_withSNPs_allSNPs_100kb,Genes_withSNPs_r01_10kb,Genes_withSNPs_r03_10kb,Genes_withSNPs_r05_10kb,Genes_withSNPs_all_SNPs_10kb
Closeness,1,-0.066404841,0.104244195,0.024279406,0.081158804,0.17590223,0.116346731,0.083628553,0.034032314,0.051587122,-0.06612402,0.03355874,-0.456503785,0.09968675,0.053205172,-0.013846914,-0.137140738,0.120632304,-0.081724294,-0.066756527,-0.061426882,-0.120627995,-0.117559774,-0.077009872,-0.078600398,-0.120800022
Drug_bank,-0.066404841,1,0.100101484,0.007188979,0.00786084,0.029066521,0.013680923,0.059070771,0.090350939,0.130537732,-0.024320703,0.026825548,-0.021543784,0.092374328,0.067830869,0.005776845,0.005402002,-0.016659923,0.007327924,0.001419018,0.006174465,-0.002146582,0.001878285,0.011553278,0.012055685,-0.011252948
MGI_essential,0.104244195,0.100101484,1,0.164851614,0.115834602,0.231973411,0.180044978,0.168359079,0.189230516,0.237710648,0.142606079,0.149514461,-0.059188709,0.214394623,0.116771073,0.01587112,-0.024705095,-0.01965496,-0.013055807,-0.016683844,-0.010662186,-0.039008111,-0.028974345,-0.015978717,-0.010100043,-0.044745381
Haploinsufficient,0.024279406,0.007188979,0.164851614,1,0.088169686,0.102203642,0.090031733,0.077050519,0.321572376,0.178809004,0.093884803,0.093476336,-0.012436537,0.132794671,0.043737883,0.003334788,-0.005821469,-0.03499691,-0.004241981,0.00280931,-0.001701349,-0.008857154,-0.008962212,-0.006646981,-0.003997151,-0.016396342
highPhi,0.081158804,0.00786084,0.115834602,0.088169686,1,0.33124968,0.175318019,0.177270322,0.051278481,0.030387725,0.003011575,0.064716066,-0.027976854,0.072762758,0.088052255,0.007501836,-0.020717359,-0.001045112,-0.029528052,-0.034198714,-0.035896617,-0.045689932,-0.048081255,-0.044935601,-0.045636529,-0.050691544
highPLI_Exac,0.17590223,0.029066521,0.231973411,0.102203642,0.33124968,1,0.612890855,0.398973815,0.083432605,0.031099668,0.062863551,0.139559855,-0.067127165,0.083075913,0.130053161,0.017999772,-0.054108301,-0.0228789,-0.057233417,-0.044560618,-0.0420915,-0.073975702,-0.081476633,-0.070642785,-0.070057651,-0.092249395
highShet_Cassa,0.116346731,0.013680923,0.180044978,0.090031733,0.175318019,0.612890855,1,0.328523014,0.055914076,-0.002421052,0.082132271,0.108907886,-0.038897478,0.022963656,0.066708465,0.016497001,-0.031709707,-0.046974751,-0.044966041,-0.041657373,-0.03753321,-0.057132664,-0.049080325,-0.056911235,-0.051850654,-0.068960799
MissenseZ_Samocha,0.083628553,0.059070771,0.168359079,0.077050519,0.177270322,0.398973815,0.328523014,1,0.070719955,0.026538518,0.022206464,0.082448455,-0.032362417,0.06770853,0.052226919,0.011610775,-0.020858144,-0.02769634,-0.023117793,-0.021371859,-0.018942139,-0.042634514,-0.04297753,-0.035806654,-0.030544389,-0.057900541
Autosomal_dominant,0.034032314,0.090350939,0.189230516,0.321572376,0.051278481,0.083432605,0.055914076,0.070719955,1,0.425419586,0.034002008,0.093018746,-0.030531317,0.296035115,0.057965698,0.008186801,-0.000768469,-0.030291,0.004662253,0.004266832,0.005015418,0.001161122,0.010011939,0.016846065,0.020618592,-0.007927558
OMIM_diseasegenes,0.051587122,0.130537732,0.237710648,0.178809004,0.030387725,0.031099668,-0.002421052,0.026538518,0.425419586,1,-0.020246137,0.070111232,-0.055494939,0.546736155,0.073625195,0.014880656,-0.026004772,0.017133503,-0.006750041,-0.015378204,-0.007369928,-0.010680008,-0.003838741,-0.003073247,-0.003761094,-0.010562522
