,Closeness,Drug_bank,MGI_essential,Haploinsufficient,highPhi,highPLI_Exac,highShet_Cassa,MissenseZ_Samocha,Autosomal_dominant,OMIM_diseasegenes,TF,high_EDS,Olfactory,Clinvar,GWAS_nearest,Universe,eQTL_deficient,Genes_withSNPs_r01_100kb,Genes_withSNPs_r03_100kb,Genes_withSNPs_r05_100kb,Genes_withSNPs_allSNPs_100kb,Genes_withSNPs_r01_10kb,Genes_withSNPs_r03_10kb,Genes_withSNPs_r05_10kb,Genes_withSNPs_all_SNPs_10kb
Closeness,1,-0.069416841,0.051883366,0.019375497,0.038442731,0.110530132,0.107619689,0.071211134,-0.023637412,-0.023439931,0.13251952,-0.01351512,,-0.044654309,-0.007591232,-0.017581663,-0.071829681,-0.05438614,-0.047436002,-0.061491431,-0.058638685,-0.056285759,-0.066165297,-0.079358329,-0.076281178
Drug_bank,-0.069416841,1,0.135836077,0.01522486,-0.015429405,0.053889934,0.019467964,0.066118864,0.069150811,0.128699931,-0.024042053,0.026166604,,0.08932931,0.040727481,0.007495927,0.046314067,-0.009721442,-0.00217529,0.007106961,-0.01076955,-0.01614391,-0.007932636,-0.005648994,-0.019587445
MGI_essential,0.051883366,0.135836077,1,0.152628449,0.045054006,0.220771429,0.16386372,0.156191452,0.190466792,0.278859581,0.22274103,0.129390209,,0.232535643,0.097557628,0.021903599,-0.031229541,-0.038368242,-0.034730101,-0.033525319,-0.055758385,-0.039390181,-0.046829879,-0.044090846,-0.066573214
Haploinsufficient,0.019375497,0.01522486,0.152628449,1,0.035975971,0.08671021,0.07984121,0.06818913,0.350300422,0.170421094,0.102636891,0.086719234,,0.140335037,0.045339098,0.004145826,-0.011039274,0.001618527,0.000846596,0.001101975,0.000974048,-0.002314547,-0.002430752,-0.001131674,-0.014683613
highPhi,0.038442731,-0.015429405,0.045054006,0.035975971,1,0.299202113,0.137063972,0.181545814,0.05191108,0.007755172,0.006075094,0.05621695,,0.077517573,0.099000807,0.008564038,0.016172996,-0.061949492,-0.062820711,-0.062531107,-0.062676008,-0.06651826,-0.066658156,-0.06511024,-0.062676008
highPLI_Exac,0.110530132,0.053889934,0.220771429,0.08671021,0.299202113,1,0.608505509,0.361530852,0.101682665,0.065521257,0.137927285,0.15588022,,0.104793906,0.115351012,0.022761958,-0.007695586,-0.132675128,-0.145886057,-0.145038648,-0.141942594,-0.143200145,-0.140272353,-0.138894375,-0.141942594
highShet_Cassa,0.107619689,0.019467964,0.16386372,0.07984121,0.137063972,0.608505509,1,0.28863247,0.058357616,0.017298648,0.175138628,0.141953183,,0.018644889,0.064477678,0.021811142,0.014367041,-0.033729475,-0.044538523,-0.04337551,-0.051187163,-0.055570438,-0.049223184,-0.050075144,-0.051187163
MissenseZ_Samocha,0.071211134,0.066118864,0.156191452,0.06818913,0.181545814,0.361530852,0.28863247,1,0.100108259,0.060225979,0.057751577,0.08018544,,0.060445973,0.02924998,0.014864785,-0.003631016,-0.035107502,-0.037422009,-0.041447511,-0.037039328,-0.051546556,-0.061008328,-0.066597161,-0.041822579
Autosomal_dominant,-0.023637412,0.069150811,0.190466792,0.350300422,0.05191108,0.101682665,0.058357616,0.100108259,1,0.423487819,0.024642875,0.090142657,,0.31628878,0.075493325,0.009880335,0.007849275,0.011100393,0.009180483,0.016645302,0.00949738,0.001332635,0.014035941,0.037343291,-0.004137073
OMIM_diseasegenes,-0.023439931,0.128699931,0.278859581,0.170421094,0.007755172,0.065521257,0.017298648,0.060225979,0.423487819,1,-0.007852313,0.084990703,,0.571087399,0.089403739,0.01838877,-0.018449427,-0.079743427,-0.086257008,-0.077320744,-0.077736756,-0.053705824,-0.058019397,-0.041307983,-0.0655564
