,Closeness,Drug_bank,MGI_essential,Haploinsufficient,highPhi,highPLI_Exac,highShet_Cassa,MissenseZ_Samocha,Autosomal_dominant,OMIM_diseasegenes,TF,high_EDS,Olfactory,Clinvar,GWAS_nearest,Universe,eQTL_deficient,Genes_withSNPs_r01_100kb,Genes_withSNPs_r03_100kb,Genes_withSNPs_r05_100kb,Genes_withSNPs_allSNPs_100kb,Genes_withSNPs_r01_10kb,Genes_withSNPs_r03_10kb,Genes_withSNPs_r05_10kb,Genes_withSNPs_all_SNPs_10kb
Closeness,1,0.007492518,0.008937964,-0.010044858,0.007509024,0.016188472,0.016331056,0.022390542,0.019634614,0.022758855,-0.074692777,0.017018998,-0.021766245,0.002354085,0.033603925,0.003120789,-0.061314894,0.042410391,0.049306707,-0.007877002,0.043499586,-0.007028727,0.002125523,-0.001185642,0.045907159
Drug_bank,0.007492518,1,0.099747002,0.008723252,0.013258313,0.034610061,0.015876984,0.05868223,0.095049644,0.139761694,-0.019767092,0.022209535,-0.007438824,0.095201303,0.06639379,0.005256439,0.01034968,-0.023188137,-0.020140681,-0.010970921,-0.017513497,-0.018190454,-0.009433691,-0.00467692,-0.020687121
MGI_essential,0.008937964,0.099747002,1,0.171066673,0.122984616,0.242483644,0.185704006,0.164861238,0.19139519,0.243319141,0.159268296,0.152806845,-0.020652009,0.216272518,0.115722923,0.014593171,-0.020008024,-0.048502832,-0.048859063,-0.03352307,-0.056760838,-0.033321168,-0.03293512,-0.033992738,-0.061130367
Haploinsufficient,-0.010044858,0.008723252,0.171066673,1,0.089244939,0.103400463,0.090288772,0.076823757,0.326766088,0.186896506,0.100762822,0.095830608,-0.00450292,0.136853353,0.045485359,0.003181864,-0.004940966,-0.013580836,-0.008488067,-0.003036275,-0.011392017,-0.007211398,-0.009505744,-0.009586945,-0.012364331
highPhi,0.007509024,0.013258313,0.122984616,0.089244939,1,0.331270057,0.178312503,0.170763562,0.052722992,0.034162013,0.010481374,0.061870506,-0.00975328,0.075531984,0.083801741,0.006891885,-0.017494884,-0.057432726,-0.055095755,-0.051281023,-0.053149981,-0.055796528,-0.054024037,-0.051613735,-0.054689064
highPLI_Exac,0.016188472,0.034610061,0.242483644,0.103400463,0.331270057,1,0.613646883,0.385551379,0.085807085,0.040448973,0.077079897,0.138873331,-0.023231911,0.088202499,0.12599291,0.016416187,-0.048438466,-0.119528074,-0.119229196,-0.107576355,-0.118698101,-0.109109484,-0.112639708,-0.111106496,-0.119047718
highShet_Cassa,0.016331056,0.015876984,0.185704006,0.090288772,0.178312503,0.613646883,1,0.327037929,0.056283294,0.009271032,0.091832282,0.104683594,-0.004807921,0.030996931,0.064683714,0.015306223,-0.026874451,-0.039407938,-0.044169,-0.035218984,-0.037715383,-0.029149627,-0.03826851,-0.04253679,-0.036656752
MissenseZ_Samocha,0.022390542,0.05868223,0.164861238,0.076823757,0.170763562,0.385551379,0.327037929,1,0.075750402,0.035820237,0.027186481,0.085096338,-0.015427801,0.068074892,0.046825823,0.010901628,-0.02234124,-0.031385216,-0.030032691,-0.044820977,-0.033609283,-0.049045001,-0.049625299,-0.054909366,-0.033881721
Autosomal_dominant,0.019634614,0.095049644,0.19139519,0.326766088,0.052722992,0.085807085,0.056283294,0.075750402,1,0.426944118,0.042353274,0.091113466,-0.010619118,0.292258223,0.058331406,0.007503706,0.002837497,-0.010381545,-0.007192648,0.008327552,-0.009200952,-0.001526516,0.004158721,0.00275278,-0.010743742
OMIM_diseasegenes,0.022758855,0.139761694,0.243319141,0.186896506,0.034162013,0.040448973,0.009271032,0.035820237,0.426944118,1,-0.008708084,0.075838462,-0.019227529,0.536576242,0.079644299,0.013586602,-0.020342192,-0.064086116,-0.066431248,-0.050038371,-0.062936825,-0.041491529,-0.042786381,-0.041722968,-0.061497577
TF,-0.074692777,-0.019767092,0.159268296,0.100762822,0.010481374,0.077079897,0.091832282,0.027186481,0.042353274,-0.008708084,1,0.126561197,-0.016090752,-0.002202358,0.008979982,0.011370085,0.02330435,-0.000375506,0.003212498,0.020651784,-0.002121199,0.006228591,0.017557332,0.013935974,-0.017065668
high_EDS,0.017018998,0.022209535,0.152806845,0.095830608,0.061870506,0.138873331,0.104683594,0.085096338,0.091113466,0.075838462,0.126561197,1,-0.021422989,0.083419314,0.120414743,0.015137962,-0.02469516,-0.053692447,-0.043362633,-0.025261277,-0.0468274,-0.027685413,-0.031699797,-0.033408086,-0.062623213
Olfactory,-0.021766245,-0.007438824,-0.020652009,-0.00450292,-0.00975328,-0.023231911,-0.004807921,-0.015427801,-0.010619118,-0.019227529,-0.016090752,-0.021422989,1,-0.03290325,-0.023406595,0.001938486,0.036209098,0.119100464,0.118850418,0.127543409,0.113622208,0.096871157,0.106600515,0.106355002,0.110629434
Clinvar,0.002354085,0.095201303,0.216272518,0.136853353,0.075531984,0.088202499,0.030996931,0.068074892,0.292258223,0.536576242,-0.002202358,0.083419314,-0.03290325,1,0.076347197,0.023250171,-0.030162509,-0.090335153,-0.085009557,-0.059180422,-0.090731167,-0.047159126,-0.045888527,-0.046522986,-0.082442546
GWAS_nearest,0.033603925,0.06639379,0.115722923,0.045485359,0.083801741,0.12599291,0.064683714,0.046825823,0.058331406,0.079644299,0.008979982,0.120414743,-0.023406595,0.076347197,1,0.027124709,-0.037422212,-0.063975753,-0.059594919,-0.072789367,-0.07037198,-0.077786573,-0.067061154,-0.06300682,-0.062091041
Universe,0.003120789,0.005256439,0.014593171,0.003181864,0.006891885,0.016416187,0.015306223,0.010901628,0.007503706,0.013586602,0.011370085,0.015137962,0.001938486,0.023250171,0.027124709,1,-0.004488351,0.011414884,0.01143724,0.010706666,0.011530829,0.011089686,0.010989047,0.011011974,0.011817469
eQTL_deficient,-0.061314894,0.01034968,-0.020008024,-0.004940966,-0.017494884,-0.048438466,-0.026874451,-0.02234124,0.002837497,-0.020342192,0.02330435,-0.02469516,0.036209098,-0.030162509,-0.037422212,-0.004488351,1,0.11423618,0.122164103,0.143958928,0.116474583,0.12535074,0.13856237,0.138134431,0.123981553
Genes_withSNPs_r01_100kb,0.042410391,-0.023188137,-0.048502832,-0.013580836,-0.057432726,-0.119528074,-0.039407938,-0.031385216,-0.010381545,-0.064086116,-0.000375506,-0.053692447,0.119100464,-0.090335153,-0.063975753,0.011414884,0.11423618,1,0.904910447,0.789917119,0.864782494,0.598133367,0.643905215,0.643238973,0.813547572
Genes_withSNPs_r03_100kb,0.049306707,-0.020140681,-0.048859063,-0.008488067,-0.055095755,-0.119229196,-0.044169,-0.030032691,-0.007192648,-0.066431248,0.003212498,-0.043362633,0.118850418,-0.085009557,-0.059594919,0.01143724,0.122164103,0.904910447,1,0.867590052,0.870804191,0.587217286,0.65950209,0.666870597,0.821771026
Genes_withSNPs_r05_100kb,-0.007877002,-0.010970921,-0.03352307,-0.003036275,-0.051281023,-0.107576355,-0.035218984,-0.044820977,0.008327552,-0.050038371,0.020651784,-0.025261277,0.127543409,-0.059180422,-0.072789367,0.010706666,0.143958928,0.789917119,0.867590052,1,0.775973219,0.641008677,0.727606851,0.749868382,0.738804024
Genes_withSNPs_allSNPs_100kb,0.043499586,-0.017513497,-0.056760838,-0.011392017,-0.053149981,-0.118698101,-0.037715383,-0.033609283,-0.009200952,-0.062936825,-0.002121199,-0.0468274,0.113622208,-0.090731167,-0.07037198,0.011530829,0.116474583,0.864782494,0.870804191,0.775973219,1,0.577130099,0.628846967,0.637808669,0.877515869
Genes_withSNPs_r01_10kb,-0.007028727,-0.018190454,-0.033321168,-0.007211398,-0.055796528,-0.109109484,-0.029149627,-0.049045001,-0.001526516,-0.041491529,0.006228591,-0.027685413,0.096871157,-0.047159126,-0.077786573,0.011089686,0.12535074,0.598133367,0.587217286,0.641008677,0.577130099,1,0.749751906,0.709218914,0.601262739
Genes_withSNPs_r03_10kb,0.002125523,-0.009433691,-0.03293512,-0.009505744,-0.054024037,-0.112639708,-0.03826851,-0.049625299,0.004158721,-0.042786381,0.017557332,-0.031699797,0.106600515,-0.045888527,-0.067061154,0.010989047,0.13856237,0.643905215,0.65950209,0.727606851,0.628846967,0.749751906,1,0.874536037,0.658583927
Genes_withSNPs_r05_10kb,-0.001185642,-0.00467692,-0.033992738,-0.009586945,-0.051613735,-0.111106496,-0.04253679,-0.054909366,0.00275278,-0.041722968,0.013935974,-0.033408086,0.106355002,-0.046522986,-0.06300682,0.011011974,0.138134431,0.643238973,0.666870597,0.749868382,0.637808669,0.709218914,0.874536037,1,0.671987912
Genes_withSNPs_all_SNPs_10kb,0.045907159,-0.020687121,-0.061130367,-0.012364331,-0.054689064,-0.119047718,-0.036656752,-0.033881721,-0.010743742,-0.061497577,-0.017065668,-0.062623213,0.110629434,-0.082442546,-0.062091041,0.011817469,0.123981553,0.813547572,0.821771026,0.738804024,0.877515869,0.601262739,0.658583927,0.671987912,1
