,ENTREZ,WEIGHT,Drug_bank,MGI_essential,Haploinsufficient,highPhi,highPLI_Exac,highShet_Cassa,MissenseZ_Samocha,Autosomal_dominant,OMIM_diseasegenes,TF,high_EDS,Olfactory,Clinvar,GWAS_nearest,Universe,eQTL_deficient,eGenes_ENTREZ_Whole_Blood.v7.signif_variant_gene_pairs,indSNPs_r01_100kb,indSNPs_r03_100kb,indSNPs_r05_100kb,indSNPs_r01_10kb,indSNPs_r03_10kb,indSNPs_r05_10kb
ENTREZ,1.0,-0.07843031756161403,-0.014249068403434113,-0.03630933586223945,-0.008180962358812157,-0.017893910250003375,-0.04084368196379524,-0.03598796258068257,-0.02624160616903092,-0.016866803693715255,-0.03383453346013472,0.007435276351079498,-0.03208094120147097,-0.010911100926036506,-0.03326559199799399,-0.042712663124298146,0.0034747742796283317,0.04534179085603676,-0.023010011954083868,0.04608655571047537,0.03745943322865131,0.0362298915963441,0.04123162080516761,0.04291253924445398,0.0367577893102858
WEIGHT,-0.07843031756161403,1.0,0.010813983088929453,0.2265477538502115,0.05594099316307898,0.11509598172594246,0.2737924520749775,0.2175421911592921,0.1524216147320498,0.06661203472482939,0.09232185991686928,-0.02151117186558791,0.07225752032932226,-0.18589171024172663,0.12919665347762582,0.09626541979175922,-0.008578509796879056,-0.18600564560561073,0.19195333105891355,-0.2083778599310875,-0.20245938192150165,-0.2060820282602974,-0.17446735287068113,-0.18782338240348834,-0.1911498710084906
Drug_bank,-0.014249068403434113,0.010813983088929453,1.0,0.10226350367272366,0.008005460004853868,0.010231645218413552,0.03529124682872626,0.01777899458845822,0.05732107062331152,0.09032423696876501,0.1313700504059503,-0.021026527285651266,0.027778707286408293,-0.019588638589618894,0.09278353042060668,0.06723040941115607,0.005217094415589765,0.0017619324853742511,-0.011334382537518457,-0.026792629622118577,-0.025975166504720548,-0.02451366028004703,-0.029387337598432543,-0.022074451854141676,-0.021343680835861377
MGI_essential,-0.03630933586223945,0.2265477538502115,0.10226350367272366,1.0,0.16678725844631667,0.12284540643011299,0.24374690382845096,0.18477813394758008,0.1671626113858814,0.19014590831661285,0.2442613377285343,0.1481762158172974,0.15199778882576193,-0.053270081664448486,0.22094487899803816,0.12135997638655399,0.01418756307633804,-0.03216047882735487,-0.0037722278595491553,-0.07180000596684827,-0.06936803494865051,-0.06829270856279926,-0.06158856344704572,-0.059671062266603916,-0.06160065018687156
Haploinsufficient,-0.008180962358812157,0.05594099316307898,0.008005460004853868,0.16678725844631667,1.0,0.08770822208560212,0.10245705452486674,0.09005746867733266,0.07621273464117198,0.3175671308043827,0.17905686073194366,0.09338223700700057,0.08994985694039194,-0.01133023341754484,0.1318308084121235,0.044791015133200135,0.0030176113168627443,-0.0078093164326814846,-0.029535517497293114,-0.0171363135473393,-0.013096095969450263,-0.012973883486601664,-0.015025372595054654,-0.015164061071193691,-0.015450233080974169
highPhi,-0.017893910250003375,0.11509598172594246,0.010231645218413552,0.12284540643011299,0.08770822208560212,1.0,0.3342581028772022,0.17638824236035863,0.1719923368140221,0.0535373530391208,0.036309251801959326,0.007391186016658078,0.06619519658640582,-0.02530177487290189,0.07767632116255437,0.0891695393424324,0.006738689255507425,-0.02371367817109466,0.0066048118159503216,-0.06033621906786879,-0.0587976891779618,-0.058596069878894805,-0.060408016071020296,-0.06064100708972775,-0.058183191674408496
highPLI_Exac,-0.04084368196379524,0.2737924520749775,0.03529124682872626,0.24374690382845096,0.10245705452486674,0.3342581028772022,1.0,0.606511860621603,0.3872627388357363,0.08894182510944401,0.04528483157182553,0.06891343012276352,0.14550938403354471,-0.06012147975898494,0.09626369172268816,0.13504406160594273,0.01601231422350929,-0.0600386850491366,-0.004439468880771458,-0.13374241911243817,-0.13338949936229497,-0.1343240024516577,-0.12724036361642657,-0.13021987137715738,-0.12955467027941991
highShet_Cassa,-0.03598796258068257,0.2175421911592921,0.01777899458845822,0.18477813394758008,0.09005746867733266,0.17638824236035863,0.606511860621603,1.0,0.3284641206722075,0.06058820032109347,0.009870662922558603,0.0831103535036209,0.11056536994082572,-0.03274005196595351,0.03457057206272229,0.06797317077586598,0.014998685976825493,-0.03182893371300602,-0.03399439665666666,-0.05166542377926971,-0.049574540067722335,-0.051423448396844776,-0.0439023224314405,-0.046672867414834035,-0.05074034151326303
MissenseZ_Samocha,-0.02624160616903092,0.1524216147320498,0.05732107062331152,0.1671626113858814,0.07621273464117198,0.1719923368140221,0.3872627388357363,0.3284641206722075,1.0,0.06959526429363232,0.03112786871469728,0.02618254690390584,0.08249286044309545,-0.025825099166091967,0.06831666297116049,0.051370706663412063,0.01076307487372162,-0.026347005584603064,-0.016799851557996227,-0.0462367731773646,-0.043308473175200965,-0.04416048153239338,-0.04444773934953071,-0.0456160194017265,-0.046042636688819534
Autosomal_dominant,-0.016866803693715255,0.06661203472482939,0.09032423696876501,0.19014590831661285,0.3175671308043827,0.0535373530391208,0.08894182510944401,0.06058820032109347,0.06959526429363232,1.0,0.4258181437586751,0.03742198919258224,0.09188473958675779,-0.027775221208295585,0.29433997915043913,0.06081373098732344,0.0073974488219053945,-0.0015812357887296932,-0.019116908346920394,-0.025767680754003163,-0.022842950273241548,-0.019807148048324806,-0.0159116886868721,-0.01088847574525194,-0.0189322260037247
OMIM_diseasegenes,-0.03383453346013472,0.09232185991686928,0.1313700504059503,0.2442613377285343,0.17905686073194366,0.036309251801959326,0.04528483157182553,0.009870662922558603,0.03112786871469728,0.4258181437586751,1.0,-0.012593464331563642,0.07584419921836265,-0.05038767777302381,0.5412148446862348,0.08033877438812913,0.013419884752154868,-0.029400416470531456,0.02863588059497369,-0.0849667648185588,-0.08168325164736377,-0.08011241887949469,-0.06776426258876075,-0.06946127555640881,-0.07072208290006063
TF,0.007435276351079498,-0.02151117186558791,-0.021026527285651266,0.1481762158172974,0.09338223700700057,0.007391186016658078,0.06891343012276352,0.0831103535036209,0.02618254690390584,0.03742198919258224,-0.012593464331563642,1.0,0.10908758854952749,-0.042147738193691914,-0.0063392754413926404,0.008661320257373708,0.011225319644042005,0.013133314376977165,-0.06892717737837147,-0.026011552435728863,-0.01900716389094642,-0.01848086682981357,-0.023689782447517002,-0.016797463485350096,-0.01809400600062766
high_EDS,-0.03208094120147097,0.07225752032932226,0.027778707286408293,0.15199778882576193,0.08994985694039194,0.06619519658640582,0.14550938403354471,0.11056536994082572,0.08249286044309545,0.09188473958675779,0.07584419921836265,0.10908758854952749,1.0,-0.050756089996235376,0.08839291656259354,0.12549150841870196,0.015012032266156316,-0.031923807266201164,-0.03834176917122097,-0.07983732430074932,-0.06715987496840391,-0.06805205300332774,-0.06306499678218648,-0.06578032378869644,-0.06627037169570235
Olfactory,-0.010911100926036506,-0.18589171024172663,-0.019588638589618894,-0.053270081664448486,-0.01133023341754484,-0.02530177487290189,-0.06012147975898494,-0.03274005196595351,-0.025825099166091967,-0.027775221208295585,-0.05038767777302381,-0.042147738193691914,-0.050756089996235376,1.0,-0.08507341460119577,-0.0635584689232362,0.005217094415590637,0.13722830785267268,-0.09090117470310112,0.3706966316788808,0.3681668154868902,0.368062679628092,0.3110164942082955,0.3236426937525709,0.3298473902512395
