,ENTREZ,WEIGHT,Drug_bank,MGI_essential,Haploinsufficient,highPhi,highPLI_Exac,highShet_Cassa,MissenseZ_Samocha,Autosomal_dominant,OMIM_diseasegenes,TF,high_EDS,Olfactory,Clinvar,GWAS_nearest,Universe,eQTL_deficient,eGenes_ENTREZ_Whole_Blood.v7.signif_variant_gene_pairs,indSNPs_r01_100kb,indSNPs_r03_100kb,indSNPs_r05_100kb,indSNPs_r01_10kb,indSNPs_r03_10kb,indSNPs_r05_10kb
ENTREZ,1.0,-0.00202587211638239,-0.015589858908935918,-0.04169460126173997,-0.01099262357407582,-0.019259830325818968,-0.04793890590591688,-0.041275145264747626,-0.030446564594215634,-0.017777139965862044,-0.03788992381633635,-0.0010783105516779083,-0.03765284361287602,-0.003921691078719409,-0.05109178549453119,-0.04103811038865011,0.003625843583542612,0.04215397221593038,-0.04323666810045646,0.04393042396131177,0.0411064372744401,0.039476723429341665,0.047222888320388484,0.04519416583211194,0.03607724772017042
WEIGHT,-0.00202587211638239,1.0,-0.0328309137331633,0.04308950119606613,0.02129677022511443,0.004196147030721779,0.047869867626261886,0.04457937665144648,0.015754378280982112,0.0006293436369244115,0.019306237549293743,0.09059678705201954,0.007037055362970459,-0.03398619427949383,0.02034534553215097,-0.00016180225888569812,-0.0017926265487693386,-0.0338917521011053,0.031590879309466136,-0.046643389410015244,-0.043878673151283666,-0.04640511535666281,-0.04444641749207922,-0.046292974040776674,-0.04879579989659407
Drug_bank,-0.015589858908935918,-0.0328309137331633,1.0,0.0962922842066145,0.006761645966681199,0.013208084247713636,0.03344481757775454,0.016304199373725747,0.05618596495744061,0.08763850176000358,0.13826334568445006,-0.021372573935371668,0.020232681486724628,-0.006855800981636966,0.09257473361025931,0.06380927071614456,0.005466876971932535,0.012438627306863377,-0.01965286555797706,-0.016068623988066456,-0.01420502884983456,-0.01152517412893845,-0.017291801383358122,-0.011394115997001724,-0.00865516982133684
MGI_essential,-0.04169460126173997,0.04308950119606613,0.0962922842066145,1.0,0.1522393374231941,0.12268781591984242,0.2342666073895596,0.17251797003459346,0.16264535435045646,0.18882348801390436,0.24007485856091135,0.16221847374290976,0.1508818329231958,-0.018631526022941425,0.21023284488827618,0.11764271117999192,0.014856945357600996,-0.015886104795557913,-0.014143781658826206,-0.029683102135027485,-0.030484990903291858,-0.027447958272850164,-0.025626015952192743,-0.020650030220392128,-0.027021476977763664
Haploinsufficient,-0.01099262357407582,0.02129677022511443,0.006761645966681199,0.1522393374231941,1.0,0.06543034630964299,0.12495556573813933,0.11700895761930569,0.07971786062754797,0.27343289216908623,0.22381777376144338,0.09023256545475748,0.06767313491683953,-0.004866989999402382,0.15807481076465968,0.025688943912792948,0.003880981321021022,-0.008182760920515487,-0.05054054605273784,-0.0130202544994341,-0.00909907164913934,-0.008524951082859972,-0.012561046974633786,-0.012298673528954423,-0.012885691480408853
highPhi,-0.019259830325818968,0.004196147030721779,0.013208084247713636,0.12268781591984242,0.06543034630964299,1.0,0.3133994986178734,0.15976501120221903,0.16897162820643508,0.054304156498206996,0.029669007201851737,0.010933291705368888,0.05868212754869688,-0.008683086367903312,0.0699859467437539,0.08701358069069047,0.006923970669095533,-0.015119747844672028,0.00494379061129824,-0.04557534595315259,-0.04572348068478203,-0.04504425615150819,-0.048275987543356776,-0.047951485830440004,-0.045769672508618894
highPLI_Exac,-0.04793890590591688,0.047869867626261886,0.03344481757775454,0.2342666073895596,0.12495556573813933,0.3133994986178734,1.0,0.6105939787413642,0.3954124085978916,0.08046351317383399,0.06238711493481942,0.07105615159627358,0.12367132615331142,-0.021632232641081287,0.10206549984680566,0.11095800841247042,0.017249735631736138,-0.04741084213617501,-0.029309089186708125,-0.10361024845737947,-0.10657476726854526,-0.10550830542775344,-0.10320210008523158,-0.10715982176197174,-0.1063806746256141
highShet_Cassa,-0.041275145264747626,0.04457937665144648,0.016304199373725747,0.17251797003459346,0.11700895761930569,0.15976501120221903,0.6105939787413642,1.0,0.32249608875750324,0.04458876733653537,0.030897505553119285,0.08569099701265064,0.0822166643447816,-0.005058953615874134,0.05782106949323785,0.04627889426760378,0.016292328174828424,-0.027250222186658145,-0.06182899752507357,-0.03414791322948596,-0.03645644811419946,-0.0369817048001024,-0.03169666285589309,-0.03769011404640209,-0.04246253293122904
MissenseZ_Samocha,-0.030446564594215634,0.015754378280982112,0.05618596495744061,0.16264535435045646,0.07971786062754797,0.16897162820643508,0.3954124085978916,0.32249608875750324,1.0,0.07890921233167308,0.04530212321652325,0.030157224788724013,0.08501126870043986,-0.01372327140416579,0.08055314119718113,0.04585216335704384,0.010943059260320707,-0.018013541446044102,-0.025978305323187314,-0.042817864153848376,-0.04129324882835018,-0.03885449903731596,-0.043572697570719826,-0.04581442533769449,-0.04539938460136113
Autosomal_dominant,-0.017777139965862044,0.0006293436369244115,0.08763850176000358,0.18882348801390436,0.27343289216908623,0.054304156498206996,0.08046351317383399,0.04458876733653537,0.07890921233167308,1.0,0.4091682857548649,0.04983173207439141,0.09006770948791323,-0.00943888687606735,0.27716582416860325,0.06076990389986686,0.007526652748767499,0.007627645731021719,-0.01589191682916062,-0.0028787330976545607,-0.0004804372172644365,0.00362753608187618,-0.001197717992349824,0.003529410857461622,-0.0033312732589701227
