CHR,START,END,ENTREZ,r01_100kb_count,r03_100kb_count,r05_100kb_count,all_SNPs_100kb,r01_10kb_count,r03_10kb_count,r05_10kb_count,all_SNPs_10kb,GENE_SIZE,ratio_r01_100kb,ratio_r03_100kb,ratio_r05_100kb,ratio_allSNPs_100kb,ratio_r01_10kb,ratio_r03_10kb,ratio_r05_10kb,ratio_all_SNPs_10kb
chr11,5363744,5364809,282763,62,163,238,2771,38,113,158,1728,1065,0.03%,0.08%,0.12%,1.38%,0.18%,0.54%,0.75%,8.20%
chr16,1025761,1031596,64788,61,125,210,2408,32,56,96,1104,5835,0.03%,0.06%,0.10%,1.17%,0.12%,0.22%,0.37%,4.27%
chr19,54135310,54140263,503834,59,128,191,1238,6,17,21,108,4953,0.03%,0.06%,0.09%,0.60%,0.02%,0.07%,0.08%,0.43%
chr11,313506,315272,8519,54,113,182,1206,6,12,24,121,1766,0.03%,0.06%,0.09%,0.60%,0.03%,0.06%,0.11%,0.56%
chr11,307631,315272,10581,55,116,186,1232,10,21,37,160,7641,0.03%,0.06%,0.09%,0.59%,0.04%,0.08%,0.13%,0.58%
chr11,319669,327537,10410,55,114,181,1214,4,14,23,139,7868,0.03%,0.05%,0.09%,0.58%,0.01%,0.05%,0.08%,0.50%
chr11,298200,299526,387733,53,112,182,1238,7,15,29,144,1326,0.03%,0.06%,0.09%,0.61%,0.03%,0.07%,0.14%,0.68%
chr17,900357,906911,29928,54,131,199,1263,4,11,15,101,6554,0.03%,0.06%,0.10%,0.61%,0.02%,0.04%,0.06%,0.38%
chr19,463346,474983,284451,55,137,225,1599,4,11,19,268,11637,0.03%,0.06%,0.11%,0.76%,0.01%,0.03%,0.06%,0.85%
chr18,580367,581524,1068,52,120,186,981,2,8,14,122,1157,0.03%,0.06%,0.09%,0.49%,0.01%,0.04%,0.07%,0.58%
chr11,289135,296107,80162,52,113,183,1246,14,22,35,156,6972,0.03%,0.05%,0.09%,0.60%,0.05%,0.08%,0.13%,0.58%
chr4,7432022,7436700,768239,51,128,225,1657,6,24,45,196,4678,0.02%,0.06%,0.11%,0.81%,0.02%,0.10%,0.18%,0.79%
chr11,278365,285359,171389,51,111,179,1202,12,18,27,128,6994,0.02%,0.05%,0.09%,0.58%,0.04%,0.07%,0.10%,0.47%
chr11,369796,382116,338707,52,104,168,1098,7,16,31,206,12320,0.02%,0.05%,0.08%,0.52%,0.02%,0.05%,0.10%,0.64%
chr16,84328252,84363450,58189,56,173,328,1884,13,47,90,393,35198,0.02%,0.07%,0.14%,0.80%,0.02%,0.09%,0.16%,0.71%
chr19,416583,460996,25759,58,150,246,1808,11,23,40,429,44413,0.02%,0.06%,0.10%,0.74%,0.02%,0.04%,0.06%,0.67%
chr19,507299,519654,91978,50,128,220,1599,11,28,46,217,12355,0.02%,0.06%,0.10%,0.75%,0.03%,0.09%,0.14%,0.67%
chr19,54024235,54083523,55422,61,174,285,1834,16,41,70,535,59288,0.02%,0.07%,0.11%,0.71%,0.02%,0.05%,0.09%,0.67%
chr19,54296857,54327648,91662,54,126,193,1321,8,33,61,326,30791,0.02%,0.05%,0.08%,0.57%,0.02%,0.06%,0.12%,0.64%
chr6,1390069,1395832,2295,48,99,156,1099,11,20,28,99,5763,0.02%,0.05%,0.08%,0.53%,0.04%,0.08%,0.11%,0.38%
chr20,814358,838106,83541,52,158,234,1418,5,19,32,239,23748,0.02%,0.07%,0.10%,0.63%,0.01%,0.04%,0.07%,0.55%
chr10,3179920,3215003,10531,53,132,206,1565,9,27,43,371,35083,0.02%,0.06%,0.09%,0.67%,0.02%,0.05%,0.08%,0.67%
chr19,55105047,55113555,11024,47,122,179,1428,4,8,9,273,8508,0.02%,0.06%,0.09%,0.68%,0.01%,0.03%,0.03%,0.96%
chr11,55761157,55762101,338674,45,101,169,1663,8,10,23,196,944,0.02%,0.05%,0.08%,0.83%,0.04%,0.05%,0.11%,0.94%
chr19,544034,549919,3004,46,129,225,1613,6,17,35,213,5885,0.02%,0.06%,0.11%,0.78%,0.02%,0.07%,0.14%,0.82%
chr2,228549926,228582728,80704,52,109,162,1594,9,16,25,339,32802,0.02%,0.05%,0.07%,0.68%,0.02%,0.03%,0.05%,0.64%
chr19,3094408,3124002,2767,51,112,185,1342,11,25,39,294,29594,0.02%,0.05%,0.08%,0.58%,0.02%,0.05%,0.08%,0.59%
chr19,571297,583493,682,47,135,229,1556,8,16,28,259,12196,0.02%,0.06%,0.11%,0.73%,0.02%,0.05%,0.09%,0.80%
chr3,159557650,159615149,29970,57,164,281,3543,44,124,205,2838,57499,0.02%,0.06%,0.11%,1.38%,0.06%,0.16%,0.26%,3.66%
chr19,405438,409139,126567,45,110,174,1461,5,14,26,175,3701,0.02%,0.05%,0.09%,0.72%,0.02%,0.06%,0.11%,0.74%
chr19,2977444,2995177,79816,48,105,150,1165,5,10,20,188,17733,0.02%,0.05%,0.07%,0.54%,0.01%,0.03%,0.05%,0.50%
chr19,53970989,54006950,126017,52,159,265,1726,10,41,74,414,35961,0.02%,0.07%,0.11%,0.73%,0.02%,0.07%,0.13%,0.74%
chr16,81087102,81110872,123775,49,84,126,1634,8,11,12,226,23770,0.02%,0.04%,0.06%,0.73%,0.02%,0.03%,0.03%,0.52%
chr19,531714,542097,997,46,126,220,1599,9,26,45,245,10383,0.02%,0.06%,0.10%,0.76%,0.03%,0.09%,0.15%,0.81%
chr10,3108525,3179904,5214,59,133,208,1817,23,58,101,807,71379,0.02%,0.05%,0.08%,0.67%,0.03%,0.06%,0.11%,0.88%
