CHR,START,STOP,ENTREZ
chr1,44457031,44462200,149473
chr1,148555979,148596267,284565
chr1,16888814,16940057,284565
chr1,144811744,144830413,284565
chr1,43232940,43263968,100129924
chr1,43232940,43263968,79078
chr1,202995626,203047868,8497
chr1,40505905,40538321,10487
chr1,45965725,45976739,25974
chr1,45976708,45988719,5052
chr1,248881947,248885506,646627
chr1,43272723,43282954,374969
chr1,179833916,179834311,163590
chr1,179809102,179846938,163590
chr1,44457172,44497139,6536
chr1,43282795,43310660,114625
chr1,203052260,203055164,4656
chr1,46016215,46035721,10327
chr1,203059782,203136533,134
chr1,43312280,43318148,51058
chr1,203136939,203144941,4608
chr1,149553003,149553787,653598
chr1,144363462,144364246,653598
chr1,147954635,147955419,653598
chr1,149553003,149553787,653505
chr1,144363462,144364246,653505
chr1,147954635,147955419,653505
chr1,111196182,111199662,3738
chr1,111214310,111217655,3738
chr1,149754227,149764074,2210
chr1,120926979,120935937,2210
chr1,149754227,149764074,2209
chr1,120926979,120935937,2209
chr1,203148059,203155877,1116
chr1,43391052,43424530,6513
chr1,59096513,59097202,204
chr1,33473585,33546597,204
chr1,149754245,149783928,440689
chr1,149784826,149785236,653604
chr1,149811110,149812765,653604
chr1,149824181,149825836,653604
chr1,149784826,149785236,333932
chr1,149811110,149812765,333932
chr1,149824181,149825836,333932
chr1,149784826,149785236,126961
chr1,149811110,149812765,126961
chr1,149824181,149825836,126961
chr1,40538379,40563375,5538
chr1,149804221,149811339,554313
chr1,149825607,149832714,554313
chr12,14920933,14924065,554313
chr6,27107076,27108418,554313
chr6,27791884,27792257,554313
chr6,27798952,27799305,554313
chr6,27840926,27841289,554313
chr6,26021907,26022278,554313
chr6,26027124,26027480,554313
chr6,26104104,26104518,554313
chr6,26188938,26189304,554313
chr6,26204858,26206266,554313
chr6,26240561,26240976,554313
chr6,26281283,26285762,554313
chr1,149804221,149811339,121504
chr1,149825607,149832714,121504
chr12,14920933,14924065,121504
chr6,27107076,27108418,121504
chr6,27791884,27792257,121504
chr6,27798952,27799305,121504
chr6,27840926,27841289,121504
chr6,26021907,26022278,121504
chr6,26027124,26027480,121504
chr6,26104104,26104518,121504
chr6,26188938,26189304,121504
chr6,26204858,26206266,121504
chr6,26240561,26240976,121504
chr6,26281283,26285762,121504
chr1,149804221,149811339,8370
chr1,149825607,149832714,8370
chr12,14920933,14924065,8370
chr6,27107076,27108418,8370
chr6,27791884,27792257,8370
chr6,27798952,27799305,8370
chr6,27840926,27841289,8370
chr6,26021907,26022278,8370
chr6,26027124,26027480,8370
chr6,26104104,26104518,8370
chr6,26188938,26189304,8370
chr6,26204858,26206266,8370
chr6,26240561,26240976,8370
chr6,26281283,26285762,8370
chr1,149804221,149811339,8368
chr1,149825607,149832714,8368
chr12,14920933,14924065,8368
chr6,27107076,27108418,8368
chr6,27791884,27792257,8368
chr6,27798952,27799305,8368
chr6,27840926,27841289,8368
chr6,26021907,26022278,8368
chr6,26027124,26027480,8368
chr6,26104104,26104518,8368
chr6,26188938,26189304,8368
