GENE,ENSGID,ENTREZ,Synonyms,GENE_description,HGNC,Chromosome,OMIM ID(supplied by OMIM)
A1BG,ENSG00000121410,1,,alpha-1-B glycoprotein,HGNC:5,19q13.43,138670
A1CF,ENSG00000148584,29974,"ACF, ASP, ACF64, ACF65, APOBEC1CF",APOBEC1 complementation factor,HGNC:24086,10q11.23,618199
A2M,ENSG00000175899,2,"FWP007, S863-7, CPAMD5",alpha-2-macroglobulin,HGNC:7,12p13.31,103950
A2ML1,ENSG00000166535,144568,"FLJ25179, p170",alpha-2-macroglobulin like 1,HGNC:23336,12p13.31,610627
A3GALT2,ENSG00000184389,127550,"IGBS3S, IGB3S","alpha 1,3-galactosyltransferase 2",HGNC:30005,1p35.1,
A4GALT,ENSG00000128274,53947,"A14GALT, Gb3S, P(k)","alpha 1,4-galactosyltransferase (P blood group)",HGNC:18149,22q13.2,607922
A4GNT,ENSG00000118017,51146,alpha4GnT,"alpha-1,4-N-acetylglucosaminyltransferase",HGNC:17968,3q22.3,616709
AAAS,ENSG00000094914,8086,,aladin WD repeat nucleoporin,HGNC:13666,12q13.13,605378
AACS,ENSG00000081760,65985,"FLJ12389, SUR-5, ACSF1",acetoacetyl-CoA synthetase,HGNC:21298,12q24.31,614364
AADAC,ENSG00000114771,13,"DAC, CES5A1",arylacetamide deacetylase,HGNC:17,3q25.1,600338
AADACL2,ENSG00000197953,344752,MGC72001,arylacetamide deacetylase like 2,HGNC:24427,3q25.1,
AADACL3,ENSG00000188984,126767,OTTHUMG00000001887,arylacetamide deacetylase like 3,HGNC:32037,1p36.21,
AADACL4,ENSG00000204518,343066,OTTHUMG00000001889,arylacetamide deacetylase like 4,HGNC:32038,1p36.21,
AADAT,ENSG00000109576,51166,"KATII, KAT2, KYAT2",aminoadipate aminotransferase,HGNC:17929,4q33,611754
AAGAB,ENSG00000103591,79719,"FLJ11506, p34",alpha and gamma adaptin binding protein,HGNC:25662,15q23,614888
AAK1,ENSG00000115977,22848,"KIAA1048, DKFZp686K16132",AP2 associated kinase 1,HGNC:19679,2p13.3,616405
AAMDC,ENSG00000087884,28971,"PTD015, FLJ21035, CK067",adipogenesis associated Mth938 domain containing,HGNC:30205,11q14.1,
AAMP,ENSG00000127837,14,,angio associated migratory cell protein,HGNC:18,2q35,603488
AANAT,ENSG00000129673,15,SNAT,aralkylamine N-acetyltransferase,HGNC:19,17q25.1,600950
AAR2,ENSG00000131043,25980,bA234K24.2,AAR2 splicing factor,HGNC:15886,20q11.23,617365
AARD,ENSG00000205002,441376,LOC441376,alanine and arginine rich domain containing protein,HGNC:33842,8q24.11,
AARS1,ENSG00000090861,16,"CMT2N, AlaRS",alanyl-tRNA synthetase 1,HGNC:20,16q22.1,601065
AARS2,ENSG00000124608,57505,"KIAA1270, bA444E17.1","alanyl-tRNA synthetase 2, mitochondrial",HGNC:21022,6p21.1,612035
AARSD1,ENSG00000266967,80755,MGC2744,alanyl-tRNA synthetase domain containing 1,HGNC:28417,17q21.31,613212
AASDH,ENSG00000157426,132949,"NRPS998, LYS2, ACSF4",aminoadipate-semialdehyde dehydrogenase,HGNC:23993,4q12,614365
AASDHPPT,ENSG00000149313,60496,"LYS5, CGI-80, AASD-PPT, ACPS",aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,HGNC:14235,11q22.3,607756
AASS,ENSG00000008311,10157,"LORSDH, LKRSDH",aminoadipate-semialdehyde synthase,HGNC:17366,7q31.32,605113
AATF,ENSG00000275700,26574,"DED, CHE-1, CHE1, BFR2",apoptosis antagonizing transcription factor,HGNC:19235,17q12,608463
AATK,ENSG00000181409,9625,"AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77",apoptosis associated tyrosine kinase,HGNC:21,17q25.3,605276
ABAT,ENSG00000183044,18,"GABAT, GABA-T",4-aminobutyrate aminotransferase,HGNC:23,16p13.2,137150
ABCA1,ENSG00000165029,19,TGD,ATP binding cassette subfamily A member 1,HGNC:29,9q31.1,600046
ABCA10,ENSG00000154263,10349,EST698739,ATP binding cassette subfamily A member 10,HGNC:30,17q24.3,612508
ABCA12,ENSG00000144452,26154,"DKFZP434G232, LI2",ATP binding cassette subfamily A member 12,HGNC:14637,2q35,607800
ABCA13,ENSG00000179869,154664,"FLJ33876, FLJ33951",ATP binding cassette subfamily A member 13,HGNC:14638,7p12.3,607807
ABCA2,ENSG00000107331,20,,ATP binding cassette subfamily A member 2,HGNC:32,9q34.3,600047
ABCA3,ENSG00000167972,21,"ABC-C, EST111653, LBM180",ATP binding cassette subfamily A member 3,HGNC:33,16p13.3,601615
ABCA4,ENSG00000198691,24,"FFM, ARMD2, CORD3",ATP binding cassette subfamily A member 4,HGNC:34,1p22.1,601691
ABCA5,ENSG00000154265,23461,EST90625,ATP binding cassette subfamily A member 5,HGNC:35,17q24.3,612503
ABCA6,ENSG00000154262,23460,EST155051,ATP binding cassette subfamily A member 6,HGNC:36,17q24.2-q24.3,612504
