CHR,START,END,ENTREZ,r01_100kb_count,r03_100kb_count,r05_100kb_count,r01_10kb_count,r03_10kb_count,r05_10kb_count,GENE_SIZE,ratio_r01_100kb,ratio_r03_100kb,ratio_r05_100kb,ratio_r01_10kb,ratio_r03_10kb,ratio_r05_10kb
chr11,5363744,5364809,282763,62,163,238,38,113,158,1065,5.82%,15.31%,22.35%,3.57%,10.61%,14.84%
chr7,135612022,135612198,767558,23,59,86,2,12,21,176,13.07%,33.52%,48.86%,1.14%,6.82%,11.93%
chr3,191178952,191179245,152138,18,46,75,3,5,13,293,6.14%,15.70%,25.60%,1.02%,1.71%,4.44%
chr16,11367144,11367452,58531,21,57,119,3,4,12,308,6.82%,18.51%,38.64%,0.97%,1.30%,3.90%
chr4,89442724,89442940,84992,9,17,23,2,6,8,216,4.17%,7.87%,10.65%,0.93%,2.78%,3.70%
chr14,21058352,21058982,493901,32,90,144,5,15,23,630,5.08%,14.29%,22.86%,0.79%,2.38%,3.65%
chr2,184125370,184125774,79727,11,41,71,1,6,14,404,2.72%,10.15%,17.57%,0.25%,1.49%,3.47%
chr20,3052266,3053163,5020,23,68,101,4,18,28,897,2.56%,7.58%,11.26%,0.45%,2.01%,3.12%
chr11,1718425,1718985,440023,28,81,148,5,12,17,560,5.00%,14.46%,26.43%,0.89%,2.14%,3.04%
chr17,44076616,44077060,246744,22,60,79,2,7,13,444,4.95%,13.51%,17.79%,0.45%,1.58%,2.93%
chr21,31720717,31720924,337963,19,42,59,1,5,6,207,9.18%,20.29%,28.50%,0.48%,2.42%,2.90%
chr17,39155447,39156138,83897,26,64,111,3,9,20,691,3.76%,9.26%,16.06%,0.43%,1.30%,2.89%
chr1,237167403,237167718,645745,24,55,87,3,4,9,315,7.62%,17.46%,27.62%,0.95%,1.27%,2.86%
chr16,11374693,11375207,5619,22,54,119,5,6,14,514,4.28%,10.51%,23.15%,0.97%,1.17%,2.72%
chr19,35842445,35843367,2864,23,72,119,4,17,25,922,2.49%,7.81%,12.91%,0.43%,1.84%,2.71%
chr7,100701580,100701848,140453,23,61,88,1,4,7,268,8.58%,22.76%,32.84%,0.37%,1.49%,2.61%
chr1,152595310,152595579,353142,19,39,42,2,6,7,269,7.06%,14.50%,15.61%,0.74%,2.23%,2.60%
chr11,5372738,5373676,390058,34,100,140,4,21,24,938,3.62%,10.66%,14.93%,0.43%,2.24%,2.56%
