,Drug_bank,MGI_essential,Haploinsufficient,highPhi,highPLI_Exac,highShet_Cassa,MissenseZ_Samocha,Autosomal_dominant,OMIM_diseasegenes,TF,high_EDS,Olfactory,Clinvar,GWAS_nearest,Universe,eQTL_deficient,Genes_withSNPs_r01_100kb,Genes_withSNPs_r03_100kb,Genes_withSNPs_r05_100kb,Genes_withSNPs_allSNPs_100kb,Genes_withSNPs_r01_10kb,Genes_withSNPs_r03_10kb,Genes_withSNPs_r05_10kb,Genes_withSNPs_all_SNPs_10kb
top10%,5.0,59.0,3.0,11.0,47.0,64.0,39.0,18.0,34.0,50.0,63.0,0.0,71.0,94.0,237.0,5.0,44.0,44.0,41.0,42.0,42.0,41.0,40.0,38.0
top20,2.0,38.0,1.0,10.0,46.0,49.0,21.0,5.0,17.0,28.0,57.0,0.0,48.0,91.0,235.0,3.0,26.0,29.0,31.0,27.0,30.0,34.0,31.0,26.0
top30,5.0,45.0,2.0,10.0,51.0,45.0,27.0,3.0,27.0,34.0,65.0,0.0,59.0,100.0,236.0,1.0,23.0,23.0,23.0,23.0,25.0,27.0,26.0,22.0
top40,5.0,43.0,1.0,8.0,50.0,36.0,16.0,15.0,40.0,21.0,47.0,0.0,77.0,99.0,235.0,3.0,25.0,26.0,23.0,24.0,32.0,28.0,29.0,28.0
top50,7.0,46.0,1.0,6.0,40.0,37.0,23.0,16.0,37.0,11.0,49.0,0.0,69.0,82.0,236.0,6.0,19.0,21.0,21.0,22.0,25.0,25.0,25.0,21.0
top60,12.0,44.0,3.0,7.0,42.0,40.0,20.0,10.0,36.0,19.0,55.0,0.0,67.0,77.0,235.0,10.0,25.0,25.0,25.0,28.0,29.0,24.0,23.0,26.0
top70,7.0,40.0,2.0,5.0,49.0,48.0,28.0,8.0,36.0,13.0,49.0,0.0,70.0,79.0,235.0,2.0,16.0,18.0,18.0,17.0,12.0,15.0,17.0,15.0
top80,10.0,46.0,3.0,8.0,49.0,35.0,16.0,9.0,34.0,10.0,53.0,0.0,69.0,98.0,236.0,1.0,16.0,15.0,15.0,14.0,18.0,20.0,20.0,17.0
top90,5.0,36.0,1.0,6.0,49.0,42.0,16.0,6.0,27.0,14.0,48.0,0.0,74.0,102.0,236.0,2.0,21.0,23.0,25.0,22.0,28.0,27.0,24.0,25.0
top100,3.0,39.0,2.0,8.0,41.0,37.0,17.0,14.0,37.0,17.0,52.0,0.0,85.0,91.0,237.0,2.0,21.0,18.0,18.0,22.0,27.0,28.0,23.0,23.0
