ENSGID,ENTREZ,CHR,START,END,EXON_LENGTH,GENESIZE,EXON_RATIO
ENSG00000159214,149473,1,44457031,44462200,1551,5170,0.3
ENSG00000164008,100129924,1,43232940,43263968,2274,31029,0.073286281
ENSG00000164008,79078,1,43232940,43263968,2274,31029,0.073286281
ENSG00000143847,8497,1,202995626,203047868,7551,52243,0.14453611
ENSG00000131236,10487,1,40505905,40538321,3325,32417,0.102569639
ENSG00000132763,25974,1,45965725,45976739,2981,11015,0.270630958
ENSG00000117450,5052,1,45976708,45988719,1522,12012,0.126706627
ENSG00000177868,374969,1,43272723,43282954,744,10232,0.072713057
ENSG00000196517,6536,1,44457172,44497139,4398,39968,0.11003803
ENSG00000164010,114625,1,43282795,43310660,4255,27866,0.152695041
ENSG00000122180,4656,1,203052260,203055164,1528,2905,0.525989673
ENSG00000117448,10327,1,46016215,46035721,2407,19507,0.123391603
ENSG00000163485,134,1,203059782,203136533,3866,76752,0.050370023
ENSG00000203818,,1,149400131,149400542,412,412,1
ENSG00000164011,51058,1,43312280,43318148,2141,5869,0.364798092
ENSG00000133055,4608,1,203136939,203144941,1805,8003,0.225540422
ENSG00000150337,2210,1,149754227,149764074,2199,9848,0.22329407
ENSG00000150337,2209,1,149754227,149764074,2199,9848,0.22329407
ENSG00000133048,1116,1,203148059,203155877,1792,7819,0.229185318
ENSG00000117394,6513,1,43391052,43424530,3967,33479,0.118492189
ENSG00000203814,440689,1,149754245,149783928,1841,29684,0.062019943
ENSG00000183598,653604,1,149784826,149785236,411,411,1
ENSG00000183598,333932,1,149784826,149785236,411,411,1
ENSG00000183598,126961,1,149784826,149785236,411,411,1
ENSG00000131238,5538,1,40538379,40563375,3210,24997,0.12841541
ENSG00000133063,1118,1,203181955,203242769,2246,60815,0.036931678
ENSG00000203811,653604,1,149811110,149812765,1656,1656,1
ENSG00000203811,333932,1,149811110,149812765,1656,1656,1
ENSG00000203811,126961,1,149811110,149812765,1656,1656,1
ENSG00000090686,84196,1,22004791,22110099,6994,105309,0.066414077
ENSG00000203812,723790,1,149822643,149823191,549,549,1
ENSG00000203812,8337,1,149822643,149823191,549,549,1
ENSG00000186973,440585,1,43610824,43622067,710,11244,0.063144788
ENSG00000203852,653604,1,149824181,149825836,1656,1656,1
ENSG00000203852,333932,1,149824181,149825836,1656,1656,1
ENSG00000203852,126961,1,149824181,149825836,1656,1656,1
ENSG00000171872,128209,1,44584522,44600812,3131,16291,0.192192008
ENSG00000117395,102465439,1,43629846,43736607,1622,106762,0.015192672
ENSG00000117395,10969,1,43629846,43736607,1622,106762,0.015192672
ENSG00000184678,8349,1,149856010,149858232,2223,2223,1
ENSG00000159388,7832,1,203274619,203278730,2712,4112,0.659533074
ENSG00000132780,4678,1,46049518,46084566,3362,35049,0.095922851
ENSG00000184260,8338,1,149858525,149858961,437,437,1
ENSG00000178028,55929,1,44679127,44686353,1844,7227,0.255154283
ENSG00000184270,317772,1,149859019,149859466,448,448,1
ENSG00000122176,2331,1,203309756,203320617,3310,10862,0.304732094
ENSG00000178096,51027,1,149859440,149872351,1455,12912,0.112685874
ENSG00000188783,5549,1,203444956,203460480,5747,15525,0.370177134
ENSG00000117000,6018,1,40627045,40706593,6246,79549,0.078517643
ENSG00000188770,26254,1,203463271,203477992,1359,14722,0.092310827
ENSG00000159164,9900,1,149874870,149889434,4824,14565,0.331204943
ENSG00000188800,127391,1,40711619,40717363,739,5745,0.128633594
ENSG00000243710,149465,1,43637820,43720029,5209,82210,0.063362121
ENSG00000084073,10269,1,40723779,40759856,3108,36078,0.086146682
ENSG00000058668,493,1,203595689,203713209,9538,117521,0.081159963
ENSG00000143368,10262,1,149895209,149900236,2245,5028,0.446499602
ENSG00000049089,1298,1,40766159,40783488,2902,17330,0.16745528
ENSG00000122188,54900,1,203734304,203745361,3023,11058,0.273376741
ENSG00000179178,128218,1,43735665,43739673,2100,4009,0.523821402
ENSG00000117419,79033,1,44686742,44820932,2147,134191,0.015999583
ENSG00000058673,441155,1,203764782,203823252,8503,58471,0.145422517
ENSG00000058673,9877,1,203764782,203823252,8503,58471,0.145422517
ENSG00000253313,149466,1,43747554,43751288,1516,3735,0.405890228
ENSG00000187942,401944,1,22138758,22151714,4012,12957,0.309639577
ENSG00000066056,7075,1,43766664,43788779,3980,22116,0.17996021
ENSG00000159588,149483,1,46085716,46089729,2247,4014,0.559790732
ENSG00000257315,100381270,1,203765437,203769686,4250,4250,1
ENSG00000182004,6635,1,203830731,203839678,980,8948,0.109521681
ENSG00000142798,3339,1,22148738,22263790,15362,115053,0.133521073
ENSG00000014914,10903,1,149900543,149908791,2979,8249,0.361134683
ENSG00000143842,9580,1,204042243,204096863,4000,54621,0.073231907
ENSG00000159592,60313,1,46092976,46153785,3738,60810,0.061470153
ENSG00000143845,55224,1,204100190,204121307,3641,21118,0.17241216
ENSG00000117400,4352,1,43803478,43818443,2128,14966,0.142188962
ENSG00000187147,55182,1,44870866,45117396,3759,246531,0.015247575
ENSG00000159596,51249,1,46152886,46160115,2439,7230,0.337344398
ENSG00000197429,3652,1,46159996,46216322,3306,56327,0.058692989
ENSG00000084070,64744,1,40810522,40888998,3254,78477,0.041464378
ENSG00000117399,991,1,43824626,43828874,1829,4249,0.430454225
