ENTREZ,CHR,START,STOP,Gene_Size,r01_100kb_count,r03_100kb_count,r05_100kb_count,unpruned_100kb_count,r01_10kb_count,r03_10kb_count,r05_10kb_count,unpruned_10kb_count,r01_100kb_ratio,r03_100kb_ratio,r05_100kb_ratio,unpruned_100kb_ratio,r01_10kb_ratio,r03_10kb_ratio,r05_10kb_ratio,unpruned_10kb_ratio
50861,chr22,25575276,25575521,245,32,84,125,1018,3,3,6,96,13.06%,34.29%,51.02%,415.51%,1.22%,1.22%,2.45%,39.18%
767558,chr7,135612022,135612198,176,18,47,69,895,0,2,4,87,10.23%,26.70%,39.20%,508.52%,0.00%,1.14%,2.27%,49.43%
386683,chr21,46077849,46078258,409,38,84,131,1239,3,5,9,127,9.29%,20.54%,32.03%,302.93%,0.73%,1.22%,2.20%,31.05%
337963,chr21,31720717,31720924,207,19,42,59,907,1,5,6,94,9.18%,20.29%,28.50%,438.16%,0.48%,2.42%,2.90%,45.41%
140453,chr7,100701580,100701848,268,23,61,88,806,1,4,7,88,8.58%,22.76%,32.84%,300.75%,0.37%,1.49%,2.61%,32.84%
337977,chr21,32127439,32127746,307,26,40,45,782,0,0,0,43,8.47%,13.03%,14.66%,254.72%,0.00%,0.00%,0.00%,14.01%
114799,chr11,49092304,49092552,248,20,47,75,882,1,3,5,86,8.06%,18.95%,30.24%,355.65%,0.40%,1.21%,2.02%,34.68%
100288323,chr21,32090843,32091095,252,20,27,29,678,3,3,3,118,7.94%,10.71%,11.51%,269.05%,1.19%,1.19%,1.19%,46.83%
645745,chr1,237167403,237167718,315,24,55,87,780,3,4,9,73,7.62%,17.46%,27.62%,247.62%,0.95%,1.27%,2.86%,23.17%
386684,chr21,46074130,46074576,446,32,77,128,1243,2,6,9,106,7.17%,17.26%,28.70%,278.70%,0.45%,1.35%,2.02%,23.77%
353142,chr1,152595310,152595579,269,19,39,42,681,2,6,7,113,7.06%,14.50%,15.61%,253.16%,0.74%,2.23%,2.60%,42.01%
337985,chr21,32015183,32015455,272,19,26,27,689,1,1,1,41,6.99%,9.56%,9.93%,253.31%,0.37%,0.37%,0.37%,15.07%
58531,chr16,11367144,11367452,308,21,57,119,990,3,4,12,93,6.82%,18.51%,38.64%,321.43%,0.97%,1.30%,3.90%,30.19%
337979,chr21,31973414,31973612,198,13,21,24,562,2,2,2,54,6.57%,10.61%,12.12%,283.84%,1.01%,1.01%,1.01%,27.27%
353332,chr21,46101491,46102078,587,38,84,129,1216,3,7,12,189,6.47%,14.31%,21.98%,207.16%,0.51%,1.19%,2.04%,32.20%
337975,chr21,31988750,31989003,253,16,24,26,621,1,1,1,46,6.32%,9.49%,10.28%,245.45%,0.40%,0.40%,0.40%,18.18%
337978,chr21,32119112,32119551,439,27,38,43,752,4,4,4,68,6.15%,8.66%,9.79%,171.30%,0.91%,0.91%,0.91%,15.49%
152138,chr3,191178952,191179245,293,18,46,75,861,3,5,13,143,6.14%,15.70%,25.60%,293.86%,1.02%,1.71%,4.44%,48.81%
728255,chr17,39185949,39186356,407,25,61,105,1313,2,5,7,102,6.14%,14.99%,25.80%,322.60%,0.49%,1.23%,1.72%,25.06%
347148,chr9,133768815,133769225,410,25,52,74,810,1,5,10,98,6.10%,12.68%,18.05%,197.56%,0.24%,1.22%,2.44%,23.90%
100131902,chr21,31661463,31661832,369,22,46,70,1039,0,3,5,83,5.96%,12.47%,18.97%,281.57%,0.00%,0.81%,1.36%,22.49%
353143,chr1,152586287,152586574,287,17,37,40,660,0,5,5,70,5.92%,12.89%,13.94%,229.97%,0.00%,1.74%,1.74%,24.39%
23519,chr12,48866448,48866843,395,22,59,92,944,2,6,5,109,5.57%,14.94%,23.29%,238.99%,0.51%,1.52%,1.27%,27.59%
79727,chr2,184125370,184125774,404,22,69,111,860,2,6,10,78,5.45%,17.08%,27.48%,212.87%,0.50%,1.49%,2.48%,19.31%
353323,chr21,46086106,46086844,738,40,87,134,1237,3,6,11,168,5.42%,11.79%,18.16%,167.62%,0.41%,0.81%,1.49%,22.76%
493901,chr14,21058352,21058982,630,32,90,144,1033,5,15,23,115,5.08%,14.29%,22.86%,163.97%,0.79%,2.38%,3.65%,18.25%
440023,chr11,1718425,1718985,560,28,81,148,1132,5,12,17,123,5.00%,14.46%,26.43%,202.14%,0.89%,2.14%,3.04%,21.96%
246744,chr17,44076616,44077060,444,22,60,79,1201,2,7,13,134,4.95%,13.51%,17.79%,270.50%,0.45%,1.58%,2.93%,30.18%
338674,chr11,55761157,55762101,944,45,101,169,1663,8,10,23,196,4.77%,10.70%,17.90%,176.17%,0.85%,1.06%,2.44%,20.76%
401397,chr5,124410358,124410673,315,15,37,54,822,1,3,2,45,4.76%,11.75%,17.14%,260.95%,0.32%,0.95%,0.63%,14.29%
1163,chr5,61808070,61808309,239,11,25,31,462,0,2,2,41,4.60%,10.46%,12.97%,193.31%,0.00%,0.84%,0.84%,17.15%
1068,chr18,580367,581524,1157,52,120,186,981,2,8,14,122,4.49%,10.37%,16.08%,84.79%,0.17%,0.69%,1.21%,10.54%
337976,chr21,32007555,32007938,383,17,24,25,676,0,1,1,41,4.44%,6.27%,6.53%,176.50%,0.00%,0.26%,0.26%,10.70%
728299,chr21,32410478,32410795,317,14,26,37,731,1,2,2,39,4.42%,8.20%,11.67%,230.60%,0.32%,0.63%,0.63%,12.30%
386685,chr21,46117087,46117959,872,38,87,132,1184,3,11,18,143,4.36%,9.98%,15.14%,135.78%,0.34%,1.26%,2.06%,16.40%
386675,chr21,46117087,46117959,872,38,87,132,1184,3,11,18,143,4.36%,9.98%,15.14%,135.78%,0.34%,1.26%,2.06%,16.40%
5619,chr16,11374693,11375207,514,22,54,119,1038,5,6,14,106,4.28%,10.51%,23.15%,201.95%,0.97%,1.17%,2.72%,20.62%
219447,chr11,55797895,55798869,974,41,96,161,1634,6,14,20,196,4.21%,9.86%,16.53%,167.76%,0.62%,1.44%,2.05%,20.12%
84992,chr4,89442724,89442940,216,9,17,23,390,2,5,7,37,4.17%,7.87%,10.65%,180.56%,0.93%,2.31%,3.24%,17.13%
282770,chr11,55734975,55735990,1015,41,93,161,1566,2,9,17,185,4.04%,9.16%,15.86%,154.29%,0.20%,0.89%,1.67%,18.23%
353144,chr1,152573138,152573562,424,17,39,42,674,0,0,0,1,4.01%,9.20%,9.91%,158.96%,0.00%,0.00%,0.00%,0.24%
387733,chr11,298200,299526,1326,53,112,182,1238,7,15,29,144,4.00%,8.45%,13.73%,93.36%,0.53%,1.13%,2.19%,10.86%
283092,chr11,49973943,49974971,1028,41,58,96,1181,6,6,10,101,3.99%,5.64%,9.34%,114.88%,0.58%,0.58%,0.97%,9.82%
122665,chr14,21525981,21526614,633,25,73,122,794,3,8,15,75,3.95%,11.53%,19.27%,125.43%,0.47%,1.26%,2.37%,11.85%
26533,chr14,22037934,22038875,941,37,92,139,1038,2,13,21,137,3.93%,9.78%,14.77%,110.31%,0.21%,1.38%,2.23%,14.56%
337967,chr21,31970909,31971219,310,12,19,22,551,2,2,2,49,3.87%,6.13%,7.10%,177.74%,0.65%,0.65%,0.65%,15.81%
85293,chr17,39149686,39150385,699,27,63,110,1161,3,7,16,168,3.86%,9.01%,15.74%,166.09%,0.43%,1.00%,2.29%,24.03%
100288287,chr21,31962424,31962716,292,11,19,21,510,1,2,2,39,3.77%,6.51%,7.19%,174.66%,0.34%,0.68%,0.68%,13.36%
83897,chr17,39155447,39156138,691,26,64,111,1200,3,9,20,175,3.76%,9.26%,16.06%,173.66%,0.43%,1.30%,2.89%,25.33%
26338,chr11,55594695,55595630,935,35,73,127,1252,1,3,5,73,3.74%,7.81%,13.58%,133.90%,0.11%,0.32%,0.53%,7.81%
10798,chr11,55702932,55703876,944,35,82,151,1410,5,11,15,142,3.71%,8.69%,16.00%,149.36%,0.53%,1.17%,1.59%,15.04%
390054,chr11,5152922,5153872,950,35,70,103,1296,2,3,9,54,3.68%,7.37%,10.84%,136.42%,0.21%,0.32%,0.95%,5.68%
6343,chr11,626431,627143,712,26,64,116,1012,5,12,16,106,3.65%,8.99%,16.29%,142.13%,0.70%,1.69%,2.25%,14.89%
613210,chr8,11831446,11832108,662,24,65,91,1189,4,9,12,104,3.63%,9.82%,13.75%,179.61%,0.60%,1.36%,1.81%,15.71%
390058,chr11,5372738,5373676,938,34,100,140,1555,4,21,24,251,3.62%,10.66%,14.93%,165.78%,0.43%,2.24%,2.56%,26.76%
341799,chr14,21108855,21109850,995,36,100,159,1086,5,12,19,142,3.62%,10.05%,15.98%,109.15%,0.50%,1.21%,1.91%,14.27%
8840,chr8,134241299,134241940,641,23,63,102,827,1,5,9,63,3.59%,9.83%,15.91%,129.02%,0.16%,0.78%,1.40%,9.83%
119749,chr11,51515282,51516211,929,33,88,131,1366,3,7,15,142,3.55%,9.47%,14.10%,147.04%,0.32%,0.75%,1.61%,15.29%
390144,chr11,55606228,55607214,986,35,74,126,1243,1,5,10,83,3.55%,7.51%,12.78%,126.06%,0.10%,0.51%,1.01%,8.42%
219438,chr11,55587086,55588073,987,35,74,126,1246,2,3,5,82,3.55%,7.50%,12.77%,126.24%,0.20%,0.30%,0.51%,8.31%
390148,chr11,55681126,55682058,932,33,74,139,1308,6,11,18,179,3.54%,7.94%,14.91%,140.34%,0.64%,1.18%,1.93%,19.21%
317703,chr19,53769929,53770972,1043,36,88,146,1239,5,7,14,119,3.45%,8.44%,14.00%,118.79%,0.48%,0.67%,1.34%,11.41%
390059,chr11,5410607,5411664,1057,36,108,152,1656,4,12,17,204,3.41%,10.22%,14.38%,156.67%,0.38%,1.14%,1.61%,19.30%
2854,chr19,51273721,51274989,1268,43,100,151,998,8,20,25,108,3.39%,7.89%,11.91%,78.71%,0.63%,1.58%,1.97%,8.52%
254950,chr21,31812597,31813070,473,16,34,41,616,1,3,3,67,3.38%,7.19%,8.67%,130.23%,0.21%,0.63%,0.63%,14.16%
331,chr10,111440200,111440799,599,20,32,39,742,2,3,4,79,3.34%,5.34%,6.51%,123.87%,0.33%,0.50%,0.67%,13.19%
79473,chr11,5809084,5810046,962,32,70,96,1256,2,2,3,66,3.33%,7.28%,9.98%,130.56%,0.21%,0.21%,0.31%,6.86%
100132463,chr4,184242917,184243579,662,22,70,112,937,2,4,11,66,3.32%,10.57%,16.92%,141.54%,0.30%,0.60%,1.66%,9.97%
386681,chr21,46031996,46032871,875,29,66,110,1159,6,8,10,110,3.31%,7.54%,12.57%,132.46%,0.69%,0.91%,1.14%,12.57%
283093,chr11,50003009,50004071,1062,35,53,81,1023,3,4,6,83,3.30%,4.99%,7.63%,96.33%,0.28%,0.38%,0.56%,7.82%
26285,chr21,31538241,31538971,730,24,37,57,953,3,2,3,83,3.29%,5.07%,7.81%,130.55%,0.41%,0.27%,0.41%,11.37%
390063,chr11,5461800,5462744,944,31,90,128,1614,6,9,12,134,3.28%,9.53%,13.56%,170.97%,0.64%,0.95%,1.27%,14.19%
219436,chr11,55563032,55563976,944,31,72,118,1179,5,8,13,85,3.28%,7.63%,12.50%,124.89%,0.53%,0.85%,1.38%,9.00%
730755,chr17,39221369,39222131,762,25,62,94,1261,6,7,7,80,3.28%,8.14%,12.34%,165.49%,0.79%,0.92%,0.92%,10.50%
85294,chr17,39221369,39222131,762,25,62,94,1261,6,7,7,80,3.28%,8.14%,12.34%,165.49%,0.79%,0.92%,0.92%,10.50%
728279,chr17,39210750,39211482,732,24,61,97,1273,7,10,11,108,3.28%,8.33%,13.25%,173.91%,0.96%,1.37%,1.50%,14.75%
119682,chr11,5020213,5021160,947,31,71,108,1102,6,12,15,103,3.27%,7.50%,11.40%,116.37%,0.63%,1.27%,1.58%,10.88%
4975,chr11,76813886,76814377,491,16,44,63,711,1,4,8,69,3.26%,8.96%,12.83%,144.81%,0.20%,0.81%,1.63%,14.05%
26538,chr19,15838834,15839862,1028,33,78,122,1243,2,5,10,112,3.21%,7.59%,11.87%,120.91%,0.19%,0.49%,0.97%,10.89%
390075,chr11,5798864,5799897,1033,33,73,100,1291,1,1,1,21,3.19%,7.07%,9.68%,124.98%,0.10%,0.10%,0.10%,2.03%
403274,chr3,97887544,97888485,941,30,54,69,1759,1,6,8,157,3.19%,5.74%,7.33%,186.93%,0.11%,0.64%,0.85%,16.68%
26341,chr3,97851542,97852483,941,30,54,73,1561,1,3,5,78,3.19%,5.74%,7.76%,165.89%,0.11%,0.32%,0.53%,8.29%
390142,chr11,55540914,55541858,944,30,70,112,1120,4,6,11,116,3.18%,7.42%,11.86%,118.64%,0.42%,0.64%,1.17%,12.29%
79345,chr11,5344541,5345582,1041,33,94,133,1494,5,13,19,139,3.17%,9.03%,12.78%,143.52%,0.48%,1.25%,1.83%,13.35%
26532,chr19,15852203,15853153,950,30,78,120,1238,1,5,9,103,3.16%,8.21%,12.63%,130.32%,0.11%,0.53%,0.95%,10.84%
387266,chr11,1628795,1629693,898,28,76,131,1108,2,6,10,117,3.12%,8.46%,14.59%,123.39%,0.22%,0.67%,1.11%,13.03%
390061,chr11,5443341,5444436,1095,34,97,136,1580,6,13,18,211,3.11%,8.86%,12.42%,144.29%,0.55%,1.19%,1.64%,19.27%
390066,chr11,5509915,5510979,1064,33,73,107,1405,0,5,7,104,3.10%,6.86%,10.06%,132.05%,0.00%,0.47%,0.66%,9.77%
441150,chr6,42858005,42858554,549,17,27,36,629,1,1,4,79,3.10%,4.92%,6.56%,114.57%,0.18%,0.18%,0.73%,14.39%
219437,chr11,55578854,55579952,1098,34,72,125,1241,4,5,6,83,3.10%,6.56%,11.38%,113.02%,0.36%,0.46%,0.55%,7.56%
8519,chr11,313506,315272,1766,54,113,182,1206,6,12,24,121,3.06%,6.40%,10.31%,68.29%,0.34%,0.68%,1.36%,6.85%
79339,chr11,5322244,5323226,982,30,88,124,1422,3,10,17,112,3.05%,8.96%,12.63%,144.81%,0.31%,1.02%,1.73%,11.41%
163590,chr1,179833916,179834311,395,12,26,39,732,1,2,3,53,3.04%,6.58%,9.87%,185.32%,0.25%,0.51%,0.76%,13.42%
345456,chr5,176827108,176827637,529,16,29,44,462,2,3,5,49,3.02%,5.48%,8.32%,87.33%,0.38%,0.57%,0.95%,9.26%
390036,chr11,4510109,4511138,1029,31,75,101,1422,2,5,5,76,3.01%,7.29%,9.82%,138.19%,0.19%,0.49%,0.49%,7.39%
282763,chr11,5363744,5364809,1065,32,98,137,1523,4,10,12,141,3.00%,9.20%,12.86%,143.00%,0.38%,0.94%,1.13%,13.24%
727857,chr17,1173853,1174754,901,27,88,146,1348,3,14,19,115,3.00%,9.77%,16.20%,149.61%,0.33%,1.55%,2.11%,12.76%
119679,chr11,5067756,5068691,935,28,62,100,1001,6,13,15,203,2.99%,6.63%,10.70%,107.06%,0.64%,1.39%,1.60%,21.71%
390072,chr11,5775923,5776959,1036,31,68,97,1203,5,11,14,153,2.99%,6.56%,9.36%,116.12%,0.48%,1.06%,1.35%,14.77%
390151,chr11,55872519,55873457,938,28,73,119,1258,4,9,15,176,2.99%,7.78%,12.69%,134.12%,0.43%,0.96%,1.60%,18.76%
441669,chr14,20215587,20216528,941,28,45,56,517,3,5,7,102,2.98%,4.78%,5.95%,54.94%,0.32%,0.53%,0.74%,10.84%
120586,chr11,55860753,55861762,1009,30,74,122,1312,5,12,16,170,2.97%,7.33%,12.09%,130.03%,0.50%,1.19%,1.59%,16.85%
119678,chr11,5079880,5080857,977,29,64,99,989,7,11,19,191,2.97%,6.55%,10.13%,101.23%,0.72%,1.13%,1.94%,19.55%
81872,chr17,39202793,39203568,775,23,61,100,1289,4,7,10,101,2.97%,7.87%,12.90%,166.32%,0.52%,0.90%,1.29%,13.03%
26693,chr5,180551357,180552304,947,28,52,83,1109,1,3,5,84,2.96%,5.49%,8.76%,117.11%,0.11%,0.32%,0.53%,8.87%
730755,chr17,39215495,39216344,849,25,62,96,1271,6,8,9,91,2.94%,7.30%,11.31%,149.71%,0.71%,0.94%,1.06%,10.72%
85294,chr17,39215495,39216344,849,25,62,96,1271,6,8,9,91,2.94%,7.30%,11.31%,149.71%,0.71%,0.94%,1.06%,10.72%
127623,chr1,247614255,247615308,1053,31,80,129,1099,12,19,24,204,2.94%,7.60%,12.25%,104.37%,1.14%,1.80%,2.28%,19.37%
119772,chr11,4566421,4567374,953,28,63,92,1359,4,6,9,212,2.94%,6.61%,9.65%,142.60%,0.42%,0.63%,0.94%,22.25%
643812,chr21,31709331,31710012,681,20,42,59,964,1,3,4,110,2.94%,6.17%,8.66%,141.56%,0.15%,0.44%,0.59%,16.15%
390892,chr19,14951760,14952689,929,27,66,114,1144,2,10,17,118,2.91%,7.10%,12.27%,123.14%,0.22%,1.08%,1.83%,12.70%
219417,chr11,56143100,56144029,929,27,62,91,877,2,8,11,88,2.91%,6.67%,9.80%,94.40%,0.22%,0.86%,1.18%,9.47%
204,chr1,59096513,59097202,689,20,42,68,1047,2,3,5,129,2.90%,6.10%,9.87%,151.96%,0.29%,0.44%,0.73%,18.72%
125963,chr19,9203855,9204889,1034,30,77,127,1047,3,8,15,106,2.90%,7.45%,12.28%,101.26%,0.29%,0.77%,1.45%,10.25%
10744,chr4,37962056,37962746,690,20,62,100,788,3,10,15,89,2.90%,8.99%,14.49%,114.20%,0.43%,1.45%,2.17%,12.90%
